# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=9.730e-09, Err(IET)=9.998e-13, Q_net=4.547e-13
# {"name":"Al", "Z":13, "Zstar":4.0097075834203775, "A":26.981539,  "μ[AU]": 4.9897977668e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-03    1.413623e+05    8.260690e+00    1.413541e+05    0.000000e+00    1.294706e+04   -3.865999e+01    2.093774e+01    7.187421e+03    0.000000e+00
   1.373798e-03    8.765920e+04    6.996910e+00    8.765220e+04    0.000000e+00    9.409924e+03   -3.298985e+01    1.897026e+01    6.851308e+03    0.000000e+00
   1.806827e-03    5.801106e+04    6.098791e+00    5.800496e+04    0.000000e+00    7.142212e+03   -2.876783e+01    1.750221e+01    6.461936e+03    0.000000e+00
   2.299087e-03    4.032876e+04    5.376883e+00    4.032338e+04    0.000000e+00    5.601944e+03   -2.550098e+01    1.627203e+01    6.019304e+03    0.000000e+00
   2.850578e-03    2.913888e+04    4.836192e+00    2.913404e+04    0.000000e+00    4.508296e+03   -2.289736e+01    1.531619e+01    5.523413e+03    0.000000e+00
   3.461299e-03    2.171710e+04    4.380611e+00    2.171272e+04    0.000000e+00    3.703953e+03   -2.077297e+01    1.448376e+01    4.974262e+03    0.000000e+00
   4.131252e-03    1.660327e+04    3.998929e+00    1.659927e+04    0.000000e+00    3.095225e+03   -1.900618e+01    1.376528e+01    4.371853e+03    0.000000e+00
   4.860435e-03    1.296668e+04    3.680522e+00    1.296300e+04    0.000000e+00    2.623491e+03   -1.751329e+01    1.314913e+01    3.716183e+03    0.000000e+00
   5.648849e-03    1.031096e+04    3.408253e+00    1.030756e+04    0.000000e+00    2.250552e+03   -1.623486e+01    1.260857e+01    3.007255e+03    0.000000e+00
   6.496494e-03    8.327095e+03    3.175946e+00    8.323919e+03    0.000000e+00    1.950648e+03   -1.512751e+01    1.213656e+01    2.554537e+03    0.000000e+00
   7.403370e-03    6.815814e+03    2.965990e+00    6.812848e+03    0.000000e+00    1.705902e+03   -1.415879e+01    1.170090e+01    2.282691e+03    0.000000e+00
   8.369476e-03    5.644749e+03    2.789198e+00    5.641959e+03    0.000000e+00    1.503588e+03   -1.330403e+01    1.132623e+01    1.993090e+03    0.000000e+00
