# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":4.5217619133175155, "A":28,  "μ[AU]": 2.546e-01, "T[AU]": 3.675e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
   2.000000e-02    1.461179e+03    2.291859e+00    1.458660e+03    0.000000e+00   -4.252891e+01    6.070377e+02   -8.521181e+00
   2.153336e-02    1.298897e+03    2.203616e+00    1.296492e+03    0.000000e+00   -4.240387e+01    5.608774e+02   -8.197505e+00
   2.318427e-02    1.154077e+03    2.118423e+00    1.151780e+03    0.000000e+00   -4.224782e+01    5.180438e+02   -7.884977e+00
   2.496176e-02    1.024873e+03    2.036168e+00    1.022678e+03    0.000000e+00   -4.206177e+01    4.783015e+02   -7.583193e+00
   2.687552e-02    9.096324e+02    1.956743e+00    9.075352e+02    0.000000e+00   -4.184668e+01    4.414315e+02   -7.291757e+00
   2.893601e-02    8.068777e+02    1.880045e+00    8.048734e+02    0.000000e+00   -4.160341e+01    4.072304e+02   -7.010290e+00
   3.115447e-02    7.152856e+02    1.805974e+00    7.133697e+02    0.000000e+00   -4.133276e+01    3.755095e+02   -6.738428e+00
   3.354302e-02    6.336716e+02    1.734435e+00    6.318402e+02    0.000000e+00   -4.103545e+01    3.460933e+02   -6.475819e+00
   3.611469e-02    5.609762e+02    1.665335e+00    5.592254e+02    0.000000e+00   -4.071216e+01    3.188189e+02   -6.222129e+00
   3.888352e-02    4.962517e+02    1.598586e+00    4.945776e+02    0.000000e+00   -4.036352e+01    2.935351e+02   -5.977035e+00
   4.186463e-02    4.386486e+02    1.534103e+00    4.370479e+02    0.000000e+00   -3.999011e+01    2.701012e+02   -5.740225e+00
   4.507430e-02    3.874079e+02    1.471804e+00    3.858775e+02    0.000000e+00   -3.959249e+01    2.483868e+02   -5.511403e+00
   4.853005e-02    3.418502e+02    1.411613e+00    3.403871e+02    0.000000e+00   -3.917118e+01    2.282707e+02   -5.290282e+00
   5.225074e-02    3.013672e+02    1.353453e+00    2.999687e+02    0.000000e+00   -3.872669e+01    2.096402e+02   -5.076588e+00
   5.625669e-02    2.654156e+02    1.297253e+00    2.640786e+02    0.000000e+00   -3.825952e+01    1.923908e+02   -4.870064e+00
   6.056977e-02    2.335073e+02    1.242944e+00    2.322296e+02    0.000000e+00   -3.777015e+01    1.764250e+02   -4.670450e+00
   6.521352e-02    2.052080e+02    1.190461e+00    2.039871e+02    0.000000e+00   -3.725907e+01    1.616528e+02   -4.477512e+00
   7.021330e-02    1.801272e+02    1.139740e+00    1.789609e+02    0.000000e+00   -3.672679e+01    1.479899e+02   -4.291017e+00
   7.559640e-02    1.579170e+02    1.090722e+00    1.568031e+02    0.000000e+00   -3.617380e+01    1.353587e+02   -4.110748e+00
   8.139221e-02    1.382651e+02    1.043349e+00    1.372016e+02    0.000000e+00   -3.560064e+01    1.236864e+02   -3.936493e+00
   8.763238e-02    1.208930e+02    9.975659e-01    1.198779e+02    0.000000e+00   -3.500786e+01    1.129058e+02   -3.768054e+00
   9.435096e-02    1.055507e+02    9.533204e-01    1.045822e+02    0.000000e+00   -3.439605e+01    1.029540e+02   -3.605236e+00
   1.015846e-01    9.201570e+01    9.105636e-01    9.109194e+01    0.000000e+00   -3.376583e+01    9.377294e+01   -3.447864e+00
   1.093729e-01    8.008801e+01    8.692469e-01    7.920736e+01    0.000000e+00   -3.311787e+01    8.530821e+01   -3.295758e+00
   1.177583e-01    6.958943e+01    8.293255e-01    6.875025e+01    0.000000e+00   -3.245288e+01    7.750941e+01   -3.148756e+00
   1.267866e-01    6.036043e+01    7.907565e-01    5.956123e+01    0.000000e+00   -3.177162e+01    7.032956e+01   -3.006700e+00
   1.365070e-01    5.225863e+01    7.534991e-01    5.149785e+01    0.000000e+00   -3.107491e+01    6.372495e+01   -2.869445e+00
   1.469727e-01    4.515653e+01    7.175145e-01    4.443280e+01    0.000000e+00   -3.036363e+01    5.765483e+01   -2.736847e+00
   1.582408e-01    3.894044e+01    6.827656e-01    3.825234e+01    0.000000e+00   -2.963873e+01    5.208121e+01   -2.608773e+00
   1.703728e-01    3.350867e+01    6.492178e-01    3.285492e+01    0.000000e+00   -2.890120e+01    4.696874e+01   -2.485096e+00
   1.834349e-01    2.877058e+01    6.168376e-01    2.814988e+01    0.000000e+00   -2.815211e+01    4.228440e+01   -2.365696e+00
   1.974984e-01    2.464513e+01    5.855935e-01    2.405627e+01    0.000000e+00   -2.739260e+01    3.799738e+01   -2.250459e+00
   2.126402e-01    2.106015e+01    5.554556e-01    2.050194e+01    0.000000e+00   -2.662387e+01    3.407893e+01   -2.139277e+00
   2.289428e-01    1.795130e+01    5.263953e-01    1.742257e+01    0.000000e+00   -2.584719e+01    3.050221e+01   -2.032049e+00
   2.464954e-01    1.526118e+01    4.983855e-01    1.476083e+01    0.000000e+00   -2.506388e+01    2.724211e+01   -1.928676e+00
   2.653937e-01    1.293876e+01    4.714002e-01    1.246572e+01    0.000000e+00   -2.427532e+01    2.427518e+01   -1.829066e+00
   2.857408e-01    1.093864e+01    4.454146e-01    1.049187e+01    0.000000e+00   -2.348295e+01    2.157949e+01   -1.733131e+00
   3.076479e-01    9.220502e+00    4.204050e-01    8.798961e+00    0.000000e+00   -2.268826e+01    1.913450e+01   -1.640789e+00
   3.312346e-01    7.748520e+00    3.963484e-01    7.351232e+00    0.000000e+00   -2.189277e+01    1.692100e+01   -1.551958e+00
   3.566297e-01    6.490975e+00    3.732225e-01    6.116980e+00    0.000000e+00   -2.109803e+01    1.492102e+01   -1.466561e+00
   3.839717e-01    5.419783e+00    3.510056e-01    5.068140e+00    0.000000e+00   -2.030563e+01    1.311770e+01   -1.384525e+00
   4.134099e-01    4.510128e+00    3.296767e-01    4.179931e+00    0.000000e+00   -1.951715e+01    1.149530e+01   -1.305778e+00
   4.451052e-01    3.740122e+00    3.092148e-01    3.430485e+00    0.000000e+00   -1.873420e+01    1.003904e+01   -1.230248e+00
   4.792304e-01    3.090514e+00    2.895995e-01    2.800573e+00    0.000000e+00   -1.795835e+01    8.735148e+00   -1.157870e+00
   5.159720e-01    2.544364e+00    2.708094e-01    2.273279e+00    0.000000e+00   -1.719118e+01    7.570663e+00   -1.088573e+00
   5.555304e-01    2.086851e+00    2.528240e-01    1.833805e+00    0.000000e+00   -1.643420e+01    6.533526e+00   -1.022292e+00
   5.981217e-01    1.705025e+00    2.356221e-01    1.469226e+00    0.000000e+00   -1.568890e+01    5.612473e+00   -9.589612e-01
   6.439784e-01    1.387592e+00    2.191820e-01    1.168270e+00    0.000000e+00   -1.495670e+01    4.796977e+00   -8.985129e-01
   6.933508e-01    1.124742e+00    2.034809e-01    9.211509e-01    0.000000e+00   -1.423895e+01    4.077230e+00   -8.408802e-01
   7.465085e-01    9.079909e-01    1.884959e-01    7.194080e-01    0.000000e+00   -1.353693e+01    3.444135e+00   -7.859973e-01
   8.037417e-01    7.300029e-01    1.742021e-01    5.557333e-01    0.000000e+00   -1.285181e+01    2.889210e+00   -7.337943e-01
   8.653628e-01    5.846373e-01    1.605891e-01    4.239957e-01    0.000000e+00   -1.218465e+01    2.404618e+00   -6.847885e-01
   9.317083e-01    4.663807e-01    1.476230e-01    3.187174e-01    0.000000e+00   -1.153641e+01    1.983122e+00   -6.385469e-01
   1.003140e+00    3.705948e-01    1.352713e-01    2.352926e-01    0.000000e+00   -1.090792e+01    1.618057e+00   -5.948416e-01
   1.080049e+00    2.933784e-01    1.235032e-01    1.698519e-01    0.000000e+00   -1.029988e+01    1.303286e+00   -5.536150e-01
   1.162854e+00    2.314421e-01    1.122853e-01    1.191391e-01    0.000000e+00   -9.712848e+00    1.033211e+00   -5.148170e-01
   1.252007e+00    1.820190e-01    1.015800e-01    8.042581e-02    0.000000e+00   -9.147268e+00    8.027241e-01   -4.784036e-01
   1.347996e+00    1.427952e-01    9.134343e-02    5.144210e-02    0.000000e+00   -8.603430e+00    6.071830e-01   -4.443402e-01
   1.451344e+00    1.118466e-01    8.152086e-02    3.031867e-02    0.000000e+00   -8.081486e+00    4.423955e-01   -4.126068e-01
   1.562615e+00    8.758404e-02    7.203759e-02    1.554128e-02    0.000000e+00   -7.581448e+00    3.046041e-01   -3.832056e-01
   1.682418e+00    6.870270e-02    6.276953e-02    5.929458e-03    0.000000e+00   -7.103183e+00    1.904595e-01   -3.561688e-01
   1.811405e+00    5.413986e-02    5.341108e-02    7.261341e-04    0.000000e+00   -6.646414e+00    9.700373e-02   -3.315712e-01
   1.950281e+00    4.303877e-02    4.303699e-02   -8.330545e-20    0.000000e+00   -6.210711e+00    2.166044e-02   -3.095452e-01
   2.099805e+00    3.471923e-02    3.471797e-02   -2.981120e-19    0.000000e+00   -5.795484e+00   -3.776616e-02   -2.903016e-01
   2.260793e+00    2.865077e-02    2.864993e-02   -5.192163e-19    6.606969e-17   -5.399966e+00   -8.310345e-02   -2.741406e-01
   2.434123e+00    2.443651e-02    2.443597e-02   -7.065880e-19    3.479654e-13   -5.023180e+00   -1.157802e-01   -2.614609e-01
   2.620741e+00    2.180110e-02    2.180078e-02   -8.394563e-19    3.130835e-10   -4.663887e+00   -1.367918e-01   -2.527394e-01
   2.821668e+00    2.058783e-02    2.058765e-02   -9.050886e-19    7.559565e-08   -4.320501e+00   -1.466302e-01   -2.484765e-01
   3.037999e+00    2.077128e-02    2.077121e-02   -8.949677e-19    4.881447e-06   -3.990933e+00   -1.451340e-01   -2.491320e-01
   3.270916e+00    2.248758e-02    2.248757e-02   -8.035803e-19    1.085011e-04   -3.672357e+00   -1.312681e-01   -2.550788e-01
   3.521690e+00    2.606831e-02    2.606839e-02   -6.305009e-19    9.532138e-04   -3.361069e+00   -1.029919e-01   -2.665380e-01
   3.791690e+00    3.183964e-02    3.183982e-02   -3.961305e-19    3.972807e-03   -3.054251e+00   -5.903432e-02   -2.828996e-01
   4.082391e+00    3.922903e-02    3.922936e-02   -1.687735e-19    9.135245e-03   -2.756256e+00   -5.180685e-03   -3.010847e-01
   4.395378e+00    4.601848e-02    4.601891e-02   -3.321445e-20    1.350490e-02   -2.482008e+00    4.231068e-02   -3.158090e-01
   4.732363e+00    4.962917e-02    4.962961e-02    0.000000e+00    1.469376e-02   -2.246811e+00    6.689769e-02   -3.230353e-01
   5.095182e+00    4.927996e-02    4.928033e-02   -9.823523e-22    1.330226e-02   -2.053558e+00    6.453790e-02   -3.223526e-01
   5.485819e+00    4.618472e-02    4.618499e-02   -3.092190e-20    1.106982e-02   -1.892962e+00    4.345083e-02   -3.161501e-01
   5.906405e+00    4.222741e-02    4.222758e-02   -9.956500e-20    9.145433e-03   -1.751663e+00    1.600519e-02   -3.077880e-01
   6.359236e+00    3.889467e-02    3.889475e-02   -1.773420e-19    7.909869e-03   -1.618505e+00   -7.567721e-03   -3.003156e-01
   6.846784e+00    3.700205e-02    3.700205e-02   -2.289168e-19    7.378610e-03   -1.486524e+00   -2.115596e-02   -2.958735e-01
   7.371712e+00    3.680985e-02    3.680989e-02   -2.344478e-19    7.490569e-03   -1.352709e+00   -2.254462e-02   -2.954137e-01
   7.936886e+00    3.809075e-02    3.809081e-02   -1.986075e-19    8.165576e-03   -1.217910e+00   -1.332116e-02   -2.984474e-01
   8.545389e+00    3.996233e-02    3.996241e-02   -1.505841e-19    9.045865e-03   -1.087922e+00    3.161654e-05   -3.027559e-01
   9.200545e+00    4.105654e-02    4.105663e-02   -1.249459e-19    9.440586e-03   -9.718538e-01    7.772658e-03   -3.052107e-01
   9.905931e+00    4.076259e-02    4.076266e-02   -1.316541e-19    9.160963e-03   -8.733142e-01    5.697473e-03   -3.045557e-01
   1.066540e+01    3.987141e-02    3.987145e-02   -1.527972e-19    8.731824e-03   -7.861758e-01   -6.140960e-04   -3.025499e-01
   1.148309e+01    3.945037e-02    3.945037e-02   -1.632042e-19    8.592083e-03   -7.023734e-01   -3.607279e-03   -3.015914e-01
   1.236347e+01    3.978875e-02    3.978870e-02   -1.548196e-19    8.769884e-03   -6.193524e-01   -1.201278e-03   -3.023623e-01
   1.331135e+01    4.028617e-02    4.028618e-02   -1.428076e-19    8.968683e-03   -5.409496e-01    2.327045e-03   -3.034872e-01
   1.433191e+01    4.029501e-02    4.029504e-02   -1.425975e-19    8.939385e-03   -4.713442e-01    2.389651e-03   -3.035071e-01
   1.543070e+01    4.005191e-02    4.005192e-02   -1.484185e-19    8.836840e-03   -4.084765e-01    6.664366e-04   -3.029586e-01
   1.661374e+01    4.002904e-02    4.002904e-02   -1.489705e-19    8.845364e-03   -3.486472e-01    5.042822e-04   -3.029069e-01
   1.788748e+01    4.008553e-02    4.008551e-02   -1.476085e-19    8.876771e-03   -2.925272e-01    9.047557e-04   -3.030346e-01
   1.925887e+01    3.997306e-02    3.997307e-02   -1.503257e-19    8.838657e-03   -2.415731e-01    1.070210e-04   -3.027802e-01
   2.073541e+01    3.988707e-02    3.988704e-02   -1.524166e-19    8.816071e-03   -1.941169e-01   -5.034130e-04   -3.025854e-01
   2.232515e+01    3.989466e-02    3.989463e-02   -1.522318e-19    8.822548e-03   -1.494192e-01   -4.496119e-04   -3.026026e-01
   2.403677e+01    3.990296e-02    3.990292e-02   -1.520296e-19    8.822320e-03   -1.078954e-01   -3.906874e-04   -3.026214e-01
   2.587961e+01    3.996370e-02    3.996381e-02   -1.505532e-19    8.837854e-03   -6.895213e-02    4.042567e-05   -3.027590e-01
   2.786375e+01    4.002297e-02    4.002295e-02   -1.491176e-19    8.854744e-03   -3.276166e-02    4.610604e-04   -3.028932e-01
   3.000000e+01    3.995800e-02    3.995798e-02   -1.506915e-19    8.841941e-03    0.000000e+00    0.000000e+00   -3.027461e-01
