# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":4.600222849413861, "A":28,  "μ[AU]": 2.598e-01, "T[AU]": 3.675e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
   2.000000e-02    1.458328e+03    2.299509e+00    1.455770e+03    4.014235e-07   -4.268996e+01    6.068767e+02   -8.515707e+00
   2.014695e-02    1.441441e+03    2.290595e+00    1.438896e+03    4.014235e-07   -4.267798e+01    6.021477e+02   -8.483140e+00
   2.029498e-02    1.424745e+03    2.281711e+00    1.422211e+03    4.014235e-07   -4.266569e+01    5.974536e+02   -8.450687e+00
   2.044409e-02    1.408235e+03    2.272859e+00    1.405714e+03    4.014235e-07   -4.265311e+01    5.927941e+02   -8.418348e+00
   2.059430e-02    1.391911e+03    2.264038e+00    1.389401e+03    4.014235e-07   -4.264021e+01    5.881690e+02   -8.386120e+00
   2.074562e-02    1.375769e+03    2.255247e+00    1.373271e+03    4.014235e-07   -4.262702e+01    5.835780e+02   -8.354004e+00
   2.089804e-02    1.359807e+03    2.246487e+00    1.357321e+03    4.014235e-07   -4.261352e+01    5.790210e+02   -8.321999e+00
   2.105159e-02    1.344025e+03    2.237757e+00    1.341551e+03    4.014235e-07   -4.259973e+01    5.744975e+02   -8.290104e+00
   2.120626e-02    1.328420e+03    2.229058e+00    1.325957e+03    4.014235e-07   -4.258563e+01    5.700075e+02   -8.258322e+00
   2.136207e-02    1.312990e+03    2.220389e+00    1.310539e+03    4.014235e-07   -4.257124e+01    5.655505e+02   -8.226651e+00
   2.151903e-02    1.297733e+03    2.211751e+00    1.295293e+03    4.014235e-07   -4.255655e+01    5.611266e+02   -8.195088e+00
   2.167714e-02    1.282647e+03    2.203142e+00    1.280218e+03    4.014235e-07   -4.254156e+01    5.567352e+02   -8.163634e+00
   2.183641e-02    1.267730e+03    2.194563e+00    1.265313e+03    4.014235e-07   -4.252628e+01    5.523763e+02   -8.132289e+00
   2.199685e-02    1.252981e+03    2.186015e+00    1.250575e+03    4.014235e-07   -4.251070e+01    5.480497e+02   -8.101054e+00
   2.215847e-02    1.238397e+03    2.177495e+00    1.236002e+03    4.014235e-07   -4.249483e+01    5.437549e+02   -8.069927e+00
   2.232128e-02    1.223978e+03    2.169006e+00    1.221593e+03    4.014235e-07   -4.247867e+01    5.394919e+02   -8.038908e+00
   2.248528e-02    1.209720e+03    2.160546e+00    1.207346e+03    4.014235e-07   -4.246221e+01    5.352604e+02   -8.007996e+00
   2.265049e-02    1.195621e+03    2.152115e+00    1.193260e+03    4.014235e-07   -4.244546e+01    5.310602e+02   -7.977191e+00
   2.281691e-02    1.181682e+03    2.143714e+00    1.179331e+03    4.014235e-07   -4.242843e+01    5.268911e+02   -7.946492e+00
   2.298456e-02    1.167899e+03    2.135342e+00    1.165559e+03    4.014235e-07   -4.241110e+01    5.227527e+02   -7.915900e+00
   2.315343e-02    1.154271e+03    2.126999e+00    1.151942e+03    4.014235e-07   -4.239349e+01    5.186450e+02   -7.885415e+00
   2.332355e-02    1.140797e+03    2.118685e+00    1.138478e+03    4.014235e-07   -4.237559e+01    5.145676e+02   -7.855034e+00
   2.349492e-02    1.127474e+03    2.110399e+00    1.125166e+03    4.014235e-07   -4.235741e+01    5.105204e+02   -7.824759e+00
   2.366755e-02    1.114300e+03    2.102143e+00    1.112003e+03    4.014235e-07   -4.233893e+01    5.065031e+02   -7.794587e+00
   2.384144e-02    1.101274e+03    2.093915e+00    1.098989e+03    4.014235e-07   -4.232018e+01    5.025156e+02   -7.764520e+00
