# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":3.424957275390625, "A":28,  "μ[AU]": 1.856e-01, "T[AU]": 1.838e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    2.00000e-02     1.46036e+03     1.84443e+00     1.45768e+03    -3.80126e-18    -4.25217e+01     6.07045e+02    -8.51960e+00
    2.07487e-02     1.37736e+03     1.80879e+00     1.37477e+03    -4.18184e-18    -4.24606e+01     5.83652e+02    -8.35719e+00
    2.15254e-02     1.29893e+03     1.77377e+00     1.29643e+03    -4.52904e-18    -4.23919e+01     5.61113e+02    -8.19758e+00
    2.23311e-02     1.22482e+03     1.73936e+00     1.22239e+03    -4.83960e-18    -4.23155e+01     5.39398e+02    -8.04073e+00
    2.31671e-02     1.15480e+03     1.70555e+00     1.15244e+03    -5.11021e-18    -4.22318e+01     5.18476e+02    -7.88660e+00
    2.40343e-02     1.08864e+03     1.67232e+00     1.08636e+03    -5.33748e-18    -4.21407e+01     4.98320e+02    -7.73512e+00
    2.49340e-02     1.02613e+03     1.63966e+00     1.02392e+03    -5.51800e-18    -4.20425e+01     4.78901e+02    -7.58625e+00
    2.58673e-02     9.67081e+02     1.60757e+00     9.64937e+02    -5.64837e-18    -4.19371e+01     4.60194e+02    -7.43994e+00
    2.68356e-02     9.11301e+02     1.57603e+00     9.09223e+02    -5.72522e-18    -4.18248e+01     4.42172e+02    -7.29615e+00
    2.78402e-02     8.58615e+02     1.54504e+00     8.56599e+02    -5.74527e-18    -4.17056e+01     4.24812e+02    -7.15483e+00
    2.88824e-02     8.08854e+02     1.51458e+00     8.06897e+02    -5.70540e-18    -4.15795e+01     4.08089e+02    -7.01592e+00
    2.99635e-02     7.61860e+02     1.48464e+00     7.59961e+02    -5.60272e-18    -4.14468e+01     3.91981e+02    -6.87940e+00
    3.10852e-02     7.17483e+02     1.45522e+00     7.15639e+02    -5.43462e-18    -4.13075e+01     3.76465e+02    -6.74521e+00
    3.22488e-02     6.75580e+02     1.42630e+00     6.73790e+02    -5.19892e-18    -4.11616e+01     3.61521e+02    -6.61332e+00
    3.34560e-02     6.36017e+02     1.39788e+00     6.34279e+02    -4.89393e-18    -4.10093e+01     3.47128e+02    -6.48367e+00
    3.47083e-02     5.98668e+02     1.36994e+00     5.96979e+02    -4.51861e-18    -4.08506e+01     3.33266e+02    -6.35624e+00
    3.60076e-02     5.63411e+02     1.34248e+00     5.61770e+02    -4.07274e-18    -4.06856e+01     3.19916e+02    -6.23097e+00
    3.73555e-02     5.30133e+02     1.31549e+00     5.28539e+02    -3.55705e-18    -4.05144e+01     3.07060e+02    -6.10783e+00
    3.87538e-02     4.98727e+02     1.28897e+00     4.97177e+02    -2.97347e-18    -4.03371e+01     2.94680e+02    -5.98679e+00
    4.02045e-02     4.69090e+02     1.26289e+00     4.67583e+02    -2.32535e-18    -4.01536e+01     2.82760e+02    -5.86780e+00
    4.17095e-02     4.41125e+02     1.23726e+00     4.39661e+02    -1.61771e-18    -3.99642e+01     2.71282e+02    -5.75082e+00
    4.32708e-02     4.14742e+02     1.21206e+00     4.13318e+02    -8.57600e-19    -3.97687e+01     2.60231e+02    -5.63583e+00
    4.48906e-02     3.89855e+02     1.18729e+00     3.88469e+02    -5.44258e-20    -3.95674e+01     2.49592e+02    -5.52277e+00
    4.65710e-02     3.66380e+02     1.16294e+00     3.65033e+02     7.79634e-19    -3.93603e+01     2.39350e+02    -5.41163e+00
    4.83144e-02     3.44242e+02     1.13901e+00     3.42931e+02     1.62916e-18    -3.91474e+01     2.29490e+02    -5.30236e+00
    5.01229e-02     3.23367e+02     1.11548e+00     3.22091e+02     2.47493e-18    -3.89288e+01     2.20000e+02    -5.19494e+00
    5.19992e-02     3.03685e+02     1.09234e+00     3.02444e+02     3.29335e-18    -3.87045e+01     2.10866e+02    -5.08933e+00
