# All units in [AU] if not specified
{"name":"Aluminum", "Z":13, "Zstar":3.739079582534025, "A":28,  "μ[AU]": 1.133e-01, "T[AU]": 3.675e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    9.00000e-03     5.10154e+03     2.57077e+00     5.09896e+03     0.00000e+00    -4.06372e+01     1.40092e+03    -1.71046e+01
    1.80000e-02     1.73434e+03     1.79406e+00     1.73255e+03     0.00000e+00    -4.06372e+01     6.78696e+02    -1.19711e+01
    2.70000e-02     9.07834e+02     1.44573e+00     9.06388e+02     0.00000e+00    -3.97093e+01     4.38883e+02    -9.66789e+00
    3.60000e-02     5.67517e+02     1.23605e+00     5.66281e+02     0.00000e+00    -3.85945e+01     3.19628e+02    -8.28101e+00
    4.50000e-02     3.91205e+02     1.09178e+00     3.90113e+02     0.00000e+00    -3.74712e+01     2.48529e+02    -7.32650e+00
    5.40000e-02     2.86954e+02     9.84523e-01     2.85970e+02     0.00000e+00    -3.63923e+01     2.01460e+02    -6.61672e+00
    6.30000e-02     2.19752e+02     9.00642e-01     2.18852e+02     0.00000e+00    -3.53717e+01     1.68089e+02    -6.06152e+00
    7.20000e-02     1.73708e+02     8.32654e-01     1.72875e+02     0.00000e+00    -3.44105e+01     1.43256e+02    -5.61145e+00
    8.10000e-02     1.40694e+02     7.76065e-01     1.39918e+02     0.00000e+00    -3.35055e+01     1.24099e+02    -5.23676e+00
    9.00000e-02     1.16174e+02     7.27985e-01     1.15446e+02     0.00000e+00    -3.26525e+01     1.08903e+02    -4.91837e+00
    9.90000e-02     9.74442e+01     6.86462e-01     9.67577e+01     0.00000e+00    -3.18470e+01     9.65772e+01    -4.64336e+00
    1.08000e-01     8.28058e+01     6.50120e-01     8.21557e+01     0.00000e+00    -3.10847e+01     8.63968e+01    -4.40264e+00
    1.17000e-01     7.11445e+01     6.17961e-01     7.05265e+01     0.00000e+00    -3.03618e+01     7.78605e+01    -4.18960e+00
    1.26000e-01     6.17035e+01     5.89235e-01     6.11143e+01     0.00000e+00    -2.96748e+01     7.06109e+01    -3.99929e+00
    1.35000e-01     5.39537e+01     5.63372e-01     5.33903e+01     0.00000e+00    -2.90207e+01     6.43867e+01    -3.82792e+00
    1.44000e-01     4.75153e+01     5.39925e-01     4.69754e+01     0.00000e+00    -2.83969e+01     5.89920e+01    -3.67255e+00
    1.53000e-01     4.21101e+01     5.18541e-01     4.15915e+01     0.00000e+00    -2.78008e+01     5.42776e+01    -3.53083e+00
    1.62000e-01     3.75299e+01     4.98934e-01     3.70310e+01     0.00000e+00    -2.72305e+01     5.01275e+01    -3.40089e+00
    1.71000e-01     3.36168e+01     4.80873e-01     3.31359e+01     0.00000e+00    -2.66840e+01     4.64505e+01    -3.28118e+00
    1.80000e-01     3.02487e+01     4.64165e-01     2.97846e+01     0.00000e+00    -2.61596e+01     4.31737e+01    -3.17043e+00
    1.89000e-01     2.73305e+01     4.48652e-01     2.68819e+01     0.00000e+00    -2.56558e+01     4.02384e+01    -3.06760e+00
    1.98000e-01     2.47868e+01     4.34198e-01     2.43526e+01     0.00000e+00    -2.51712e+01     3.75964e+01    -2.97178e+00
    2.07000e-01     2.25573e+01     4.20689e-01     2.21366e+01     0.00000e+00    -2.47046e+01     3.52084e+01    -2.88223e+00
    2.16000e-01     2.05933e+01     4.08029e-01     2.01853e+01     0.00000e+00    -2.42549e+01     3.30414e+01    -2.79830e+00
    2.25000e-01     1.88554e+01     3.96133e-01     1.84593e+01     0.00000e+00    -2.38210e+01     3.10679e+01    -2.71943e+00
    2.34000e-01     1.73109e+01     3.84929e-01     1.69259e+01     0.00000e+00    -2.34020e+01     2.92646e+01    -2.64514e+00
    2.43000e-01     1.59329e+01     3.74353e-01     1.55585e+01     0.00000e+00    -2.29971e+01     2.76120e+01    -2.57503e+00
    2.52000e-01     1.46990e+01     3.64350e-01     1.43346e+01     0.00000e+00    -2.26054e+01     2.60930e+01    -2.50870e+00
    2.61000e-01     1.35904e+01     3.54872e-01     1.32355e+01     0.00000e+00    -2.22263e+01     2.46932e+01    -2.44586e+00
    2.70000e-01     1.25911e+01     3.45874e-01     1.22453e+01     0.00000e+00    -2.18591e+01     2.34001e+01    -2.38620e+00
    2.79000e-01     1.16879e+01     3.37319e-01     1.13506e+01     0.00000e+00    -2.15032e+01     2.22029e+01    -2.32948e+00
    2.88000e-01     1.08691e+01     3.29172e-01     1.05399e+01     0.00000e+00    -2.11580e+01     2.10920e+01    -2.27546e+00
    2.97000e-01     1.01250e+01     3.21404e-01     9.80356e+00     0.00000e+00    -2.08230e+01     2.00592e+01    -2.22396e+00
    3.06000e-01     9.44703e+00     3.13985e-01     9.13305e+00     0.00000e+00    -2.04976e+01     1.90971e+01    -2.17478e+00
    3.15000e-01     8.82798e+00     3.06893e-01     8.52108e+00     0.00000e+00    -2.01815e+01     1.81994e+01    -2.12775e+00
    3.24000e-01     8.26145e+00     3.00104e-01     7.96135e+00     0.00000e+00    -1.98743e+01     1.73603e+01    -2.08275e+00
    3.33000e-01     7.74194e+00     2.93598e-01     7.44834e+00     0.00000e+00    -1.95754e+01     1.65747e+01    -2.03962e+00
    3.42000e-01     7.26460e+00     2.87356e-01     6.97724e+00     0.00000e+00    -1.92846e+01     1.58382e+01    -1.99824e+00
    3.51000e-01     6.82520e+00     2.81363e-01     6.54384e+00     0.00000e+00    -1.90015e+01     1.51466e+01    -1.95851e+00
    3.60000e-01     6.42001e+00     2.75602e-01     6.14441e+00     0.00000e+00    -1.87258e+01     1.44964e+01    -1.92033e+00
    3.69000e-01     6.04575e+00     2.70059e-01     5.77569e+00     0.00000e+00    -1.84572e+01     1.38843e+01    -1.88359e+00
    3.78000e-01     5.69949e+00     2.64722e-01     5.43476e+00     0.00000e+00    -1.81953e+01     1.33073e+01    -1.84822e+00
    3.87000e-01     5.37865e+00     2.59579e-01     5.11907e+00     0.00000e+00    -1.79400e+01     1.27629e+01    -1.81414e+00
    3.96000e-01     5.08093e+00     2.54619e-01     4.82631e+00     0.00000e+00    -1.76909e+01     1.22485e+01    -1.78127e+00
    4.05000e-01     4.80429e+00     2.49831e-01     4.55446e+00     0.00000e+00    -1.74478e+01     1.17621e+01    -1.74955e+00
