# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":3.2166995111404586, "A":28,  "μ[AU]": 1.698e-01, "T[AU]": 3.675e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    1.00000e-03     1.41163e+05     0.00000e+00     1.41342e+05     0.00000e+00    -5.29192e+01     1.29466e+04    -3.86419e+01
    1.02617e-03     1.35783e+05     0.00000e+00     1.35955e+05     0.00000e+00    -5.29089e+01     1.26151e+04    -3.81466e+01
    1.05303e-03     1.30607e+05     0.00000e+00     1.30773e+05     0.00000e+00    -5.28976e+01     1.22920e+04    -3.76576e+01
    1.08059e-03     1.25629e+05    2.73591e-146     1.25788e+05     0.00000e+00    -5.28855e+01     1.19771e+04    -3.71750e+01
    1.10888e-03     1.20840e+05    2.30762e-142     1.20992e+05     0.00000e+00    -5.28724e+01     1.16703e+04    -3.66984e+01
    1.13790e-03     1.16233e+05    1.54426e-138     1.16379e+05     0.00000e+00    -5.28585e+01     1.13713e+04    -3.62280e+01
    1.16768e-03     1.11801e+05    8.24762e-135     1.11942e+05     0.00000e+00    -5.28436e+01     1.10799e+04    -3.57635e+01
    1.19825e-03     1.07538e+05    3.53581e-131     1.07673e+05     0.00000e+00    -5.28279e+01     1.07959e+04    -3.53050e+01
    1.22961e-03     1.03437e+05    1.22358e-127     1.03567e+05     0.00000e+00    -5.28113e+01     1.05192e+04    -3.48524e+01
    1.26179e-03     9.94918e+04    3.43663e-124     9.96164e+04     0.00000e+00    -5.27938e+01     1.02496e+04    -3.44055e+01
    1.29482e-03     9.56969e+04    7.87588e-121     9.58165e+04     0.00000e+00    -5.27755e+01     9.98682e+03    -3.39643e+01
    1.32871e-03     9.20463e+04    1.48042e-117     9.21612e+04     0.00000e+00    -5.27562e+01     9.73075e+03    -3.35288e+01
    1.36348e-03     8.85346e+04    2.29393e-114     8.86449e+04     0.00000e+00    -5.27362e+01     9.48122e+03    -3.30988e+01
    1.39917e-03     8.51565e+04    2.94461e-111     8.52624e+04     0.00000e+00    -5.27153e+01     9.23806e+03    -3.26743e+01
    1.43579e-03     8.19069e+04    3.14638e-108     8.20086e+04     0.00000e+00    -5.26935e+01     9.00110e+03    -3.22552e+01
    1.47337e-03     7.87809e+04    2.81164e-105     7.88786e+04     0.00000e+00    -5.26709e+01     8.77019e+03    -3.18415e+01
    1.51194e-03     7.57739e+04    2.11082e-102     7.58677e+04     0.00000e+00    -5.26474e+01     8.54516e+03    -3.14330e+01
    1.55151e-03     7.28813e+04     1.33726e-99     7.29713e+04     0.00000e+00    -5.26232e+01     8.32588e+03    -3.10298e+01
    1.59212e-03     7.00988e+04     7.18018e-97     7.01852e+04     0.00000e+00    -5.25980e+01     8.11219e+03    -3.06317e+01
    1.63379e-03     6.74221e+04     3.28123e-94     6.75051e+04     0.00000e+00    -5.25721e+01     7.90395e+03    -3.02386e+01
    1.67655e-03     6.48474e+04     1.28147e-91     6.49270e+04     0.00000e+00    -5.25453e+01     7.70103e+03    -2.98506e+01
    1.72043e-03     6.23706e+04     4.29422e-89     6.24470e+04     0.00000e+00    -5.25177e+01     7.50328e+03    -2.94675e+01
    1.76546e-03     5.99880e+04     1.23955e-86     6.00613e+04     0.00000e+00    -5.24893e+01     7.31058e+03    -2.90893e+01
    1.81167e-03     5.76962e+04     3.09384e-84     5.77665e+04     0.00000e+00    -5.24600e+01     7.12280e+03    -2.87159e+01
    1.85909e-03     5.54916e+04     6.70185e-82     5.55591e+04     0.00000e+00    -5.24300e+01     6.93980e+03    -2.83473e+01
    1.90775e-03     5.33709e+04     1.26451e-79     5.34356e+04     0.00000e+00    -5.23991e+01     6.76148e+03    -2.79834e+01
    1.95768e-03     5.13309e+04     2.08551e-77     5.13930e+04     0.00000e+00    -5.23673e+01     6.58770e+03    -2.76241e+01
    2.00892e-03     4.93686e+04     3.01683e-75     4.94282e+04     0.00000e+00    -5.23348e+01     6.41836e+03    -2.72694e+01
    2.06150e-03     4.74809e+04     3.84052e-73     4.75381e+04     0.00000e+00    -5.23014e+01     6.25334e+03    -2.69192e+01
    2.11546e-03     4.56652e+04     4.31663e-71     4.57200e+04     0.00000e+00    -5.22673e+01     6.09254e+03    -2.65734e+01
    2.17083e-03     4.39186e+04     4.29727e-69     4.39712e+04     0.00000e+00    -5.22323e+01     5.93583e+03    -2.62321e+01
    2.22765e-03     4.22385e+04     3.80083e-67     4.22889e+04     0.00000e+00    -5.21964e+01     5.78312e+03    -2.58951e+01
    2.28595e-03     4.06223e+04     2.99578e-65     4.06707e+04     0.00000e+00    -5.21598e+01     5.63431e+03    -2.55624e+01
    2.34579e-03     3.90677e+04     2.11039e-63     3.91141e+04     0.00000e+00    -5.21223e+01     5.48930e+03    -2.52339e+01
    2.40718e-03     3.75724e+04     1.33254e-61     3.76168e+04     0.00000e+00    -5.20840e+01     5.34799e+03    -2.49096e+01
    2.47019e-03     3.61339e+04     7.56263e-60     3.61766e+04     0.00000e+00    -5.20449e+01     5.21028e+03    -2.45894e+01
    2.53484e-03     3.47503e+04     3.86832e-58     3.47911e+04     0.00000e+00    -5.20050e+01     5.07609e+03    -2.42733e+01
    2.60119e-03     3.34193e+04     1.78804e-56     3.34585e+04     0.00000e+00    -5.19642e+01     4.94532e+03    -2.39612e+01
    2.66927e-03     3.21391e+04     7.48792e-55     3.21766e+04     0.00000e+00    -5.19226e+01     4.81789e+03    -2.36530e+01
    2.73913e-03     3.09076e+04     2.84816e-53     3.09436e+04     0.00000e+00    -5.18802e+01     4.69371e+03    -2.33488e+01
    2.81083e-03     2.97231e+04     9.86398e-52     2.97576e+04     0.00000e+00    -5.18369e+01     4.57270e+03    -2.30484e+01
    2.88440e-03     2.85837e+04     3.11789e-50     2.86167e+04     0.00000e+00    -5.17928e+01     4.45478e+03    -2.27519e+01
    2.95989e-03     2.74877e+04     9.01579e-49     2.75193e+04     0.00000e+00    -5.17478e+01     4.33987e+03    -2.24591e+01
    3.03736e-03     2.64335e+04     2.39036e-47     2.64638e+04     0.00000e+00    -5.17020e+01     4.22789e+03    -2.21700e+01
    3.11686e-03     2.54195e+04     5.82373e-46     2.54485e+04     0.00000e+00    -5.16553e+01     4.11877e+03    -2.18846e+01
    3.19844e-03     2.44441e+04     1.30663e-44     2.44718e+04     0.00000e+00    -5.16078e+01     4.01244e+03    -2.16029e+01
    3.28216e-03     2.35059e+04     2.70538e-43     2.35325e+04     0.00000e+00    -5.15594e+01     3.90882e+03    -2.13247e+01
    3.36806e-03     2.26034e+04     5.17986e-42     2.26289e+04     0.00000e+00    -5.15102e+01     3.80784e+03    -2.10500e+01
    3.45622e-03     2.17354e+04     9.18939e-41     2.17598e+04     0.00000e+00    -5.14601e+01     3.70944e+03    -2.07788e+01
    3.54668e-03     2.09005e+04     1.51348e-39     2.09238e+04     0.00000e+00    -5.14091e+01     3.61356e+03    -2.05110e+01
    3.63951e-03     2.00974e+04     2.31854e-38     2.01197e+04     0.00000e+00    -5.13572e+01     3.52012e+03    -2.02466e+01
    3.73477e-03     1.93249e+04     3.30976e-37     1.93463e+04     0.00000e+00    -5.13045e+01     3.42907e+03    -1.99856e+01
    3.83252e-03     1.85819e+04     4.41068e-36     1.86023e+04     0.00000e+00    -5.12509e+01     3.34034e+03    -1.97279e+01
