# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":4.144032140362588, "A":28,  "μ[AU]": 2.312e-01, "T[AU]": 3.675e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
   2.000000e-02    1.465780e+03    1.944718e+00    1.463498e+03   -5.315776e-23   -4.259272e+01    6.069740e+02   -8.530001e+00
   2.074867e-02    1.382476e+03    1.907140e+00    1.380252e+03   -5.847998e-23   -4.253168e+01    5.835812e+02   -8.367379e+00
   2.152536e-02    1.303753e+03    1.870215e+00    1.301586e+03   -6.333524e-23   -4.246295e+01    5.610424e+02   -8.207571e+00
   2.233113e-02    1.229365e+03    1.833930e+00    1.227253e+03   -6.767821e-23   -4.238667e+01    5.393269e+02   -8.050526e+00
   2.316707e-02    1.159077e+03    1.798274e+00    1.157018e+03   -7.146245e-23   -4.230296e+01    5.184051e+02   -7.896192e+00
   2.403429e-02    1.092668e+03    1.763235e+00    1.090660e+03   -7.464068e-23   -4.221194e+01    4.982486e+02   -7.744521e+00
   2.493398e-02    1.029927e+03    1.728802e+00    1.027970e+03   -7.716520e-23   -4.211372e+01    4.788299e+02   -7.595464e+00
   2.586734e-02    9.706570e+02    1.694963e+00    9.687477e+02   -7.898831e-23   -4.200842e+01    4.601225e+02   -7.448970e+00
   2.683565e-02    9.146684e+02    1.661709e+00    9.128066e+02   -8.006295e-23   -4.189612e+01    4.421008e+02   -7.304993e+00
   2.784020e-02    8.617855e+02    1.629027e+00    8.599687e+02   -8.034335e-23   -4.177694e+01    4.247404e+02   -7.163490e+00
   2.888235e-02    8.118381e+02    1.596908e+00    8.100658e+02   -7.978584e-23   -4.165097e+01    4.080175e+02   -7.024411e+00
   2.996352e-02    7.646681e+02    1.565340e+00    7.629388e+02   -7.834988e-23   -4.151831e+01    3.919093e+02   -6.887714e+00
   3.108516e-02    7.201246e+02    1.534315e+00    7.184370e+02   -7.599917e-23   -4.137903e+01    3.763936e+02   -6.753355e+00
   3.224878e-02    6.780650e+02    1.503822e+00    6.764181e+02   -7.270303e-23   -4.123322e+01    3.614494e+02   -6.621291e+00
   3.345597e-02    6.383544e+02    1.473852e+00    6.367471e+02   -6.843794e-23   -4.108097e+01    3.470561e+02   -6.491480e+00
   3.470834e-02    6.008655e+02    1.444394e+00    5.992964e+02   -6.318945e-23   -4.092235e+01    3.331941e+02   -6.363881e+00
   3.600760e-02    5.654768e+02    1.415440e+00    5.639453e+02   -5.695425e-23   -4.075744e+01    3.198442e+02   -6.238453e+00
   3.735548e-02    5.320750e+02    1.386980e+00    5.305797e+02   -4.974274e-23   -4.058630e+01    3.069882e+02   -6.115159e+00
   3.875383e-02    5.005513e+02    1.359006e+00    4.990912e+02   -4.158182e-23   -4.040902e+01    2.946084e+02   -5.993958e+00
   4.020452e-02    4.708033e+02    1.331509e+00    4.693778e+02   -3.251825e-23   -4.022566e+01    2.826877e+02   -5.874812e+00
   4.170952e-02    4.427343e+02    1.304479e+00    4.413425e+02   -2.262246e-23   -4.003628e+01    2.712099e+02   -5.757685e+00
   4.327085e-02    4.162529e+02    1.277909e+00    4.148939e+02   -1.199291e-23   -3.984095e+01    2.601589e+02   -5.642540e+00
   4.489063e-02    3.912724e+02    1.251791e+00    3.899451e+02   -7.611048e-25   -3.963974e+01    2.495197e+02   -5.529342e+00
   4.657104e-02    3.677106e+02    1.226115e+00    3.664143e+02    1.090261e-23   -3.943269e+01    2.392774e+02   -5.418056e+00
   4.831435e-02    3.454898e+02    1.200875e+00    3.442238e+02    2.278253e-23   -3.921989e+01    2.294180e+02   -5.308647e+00
   5.012293e-02    3.245367e+02    1.176063e+00    3.233003e+02    3.461005e-23   -3.900137e+01    2.199276e+02   -5.201082e+00
   5.199920e-02    3.047819e+02    1.151670e+00    3.035742e+02    4.605511e-23   -3.877722e+01    2.107933e+02   -5.095329e+00
   5.394571e-02    2.861595e+02    1.127691e+00    2.849799e+02    5.671647e-23   -3.854747e+01    2.020022e+02   -4.991355e+00
   5.596509e-02    2.686073e+02    1.104116e+00    2.674551e+02    6.611057e-23   -3.831219e+01    1.935421e+02   -4.889129e+00
   5.806006e-02    2.520663e+02    1.080940e+00    2.509410e+02    7.365896e-23   -3.807145e+01    1.854013e+02   -4.788619e+00
   6.023345e-02    2.364812e+02    1.058154e+00    2.353820e+02    7.867395e-23   -3.782528e+01    1.775683e+02   -4.689797e+00
   6.248820e-02    2.217989e+02    1.035754e+00    2.207253e+02    8.034236e-23   -3.757377e+01    1.700322e+02   -4.592633e+00
   6.482735e-02    2.079699e+02    1.013731e+00    2.069212e+02    7.770708e-23   -3.731696e+01    1.627824e+02   -4.497098e+00
   6.725406e-02    1.949466e+02    9.920787e-01    1.939224e+02    6.964620e-23   -3.705491e+01    1.558086e+02   -4.403162e+00
   6.977161e-02    1.826849e+02    9.707916e-01    1.816845e+02    5.484936e-23   -3.678769e+01    1.491012e+02   -4.310802e+00
   7.238341e-02    1.711422e+02    9.498632e-01    1.701651e+02    3.179100e-23   -3.651535e+01    1.426505e+02   -4.219987e+00
   7.509297e-02    1.602787e+02    9.292872e-01    1.593244e+02   -1.299878e-24   -3.623796e+01    1.364474e+02   -4.130693e+00
   7.790396e-02    1.500565e+02    9.090578e-01    1.491245e+02   -4.533795e-23   -3.595559e+01    1.304832e+02   -4.042893e+00
   8.082017e-02    1.404400e+02    8.891691e-01    1.395298e+02   -9.695385e-23   -3.566829e+01    1.247493e+02   -3.956562e+00
   8.384555e-02    1.313953e+02    8.696155e-01    1.305064e+02   -1.508010e-22   -3.537614e+01    1.192375e+02   -3.871677e+00
   8.698419e-02    1.228904e+02    8.503914e-01    1.220224e+02   -2.001941e-22   -3.507921e+01    1.139399e+02   -3.788213e+00
   9.024031e-02    1.148951e+02    8.314914e-01    1.140475e+02   -2.368901e-22   -3.477757e+01    1.088489e+02   -3.706147e+00
   9.361831e-02    1.073806e+02    8.129102e-01    1.065531e+02   -2.508373e-22   -3.447128e+01    1.039571e+02   -3.625455e+00
   9.712277e-02    1.003201e+02    7.946426e-01    9.951211e+01   -2.298906e-22   -3.416044e+01    9.925743e+01   -3.546117e+00
   1.007584e-01    9.368771e+01    7.766837e-01    9.289892e+01   -1.594869e-22   -3.384511e+01    9.474304e+01   -3.468109e+00
   1.045302e-01    8.745935e+01    7.590284e-01    8.668933e+01   -2.227663e-23   -3.352538e+01    9.040731e+01   -3.391412e+00
   1.084431e-01    8.161200e+01    7.416720e-01    8.086042e+01    1.947206e-22   -3.320134e+01    8.624389e+01   -3.316003e+00
   1.125025e-01    7.612412e+01    7.246098e-01    7.539053e+01    4.600984e-22   -3.287306e+01    8.224661e+01   -3.241863e+00
   1.167138e-01    7.097511e+01    7.078372e-01    7.025917e+01    7.164157e-22   -3.254065e+01    7.840955e+01   -3.168973e+00
   1.210828e-01    6.614560e+01    6.913498e-01    6.544696e+01    8.922742e-22   -3.220420e+01    7.472698e+01   -3.097314e+00
   1.256154e-01    6.161725e+01    6.751432e-01    6.093557e+01    9.000698e-22   -3.186380e+01    7.119337e+01   -3.026865e+00
   1.303176e-01    5.737273e+01    6.592133e-01    5.670767e+01    6.334080e-22   -3.151955e+01    6.780339e+01   -2.957610e+00
   1.351959e-01    5.339568e+01    6.435558e-01    5.274688e+01   -3.583295e-23   -3.117156e+01    6.455189e+01   -2.889531e+00
   1.402567e-01    4.967053e+01    6.281668e-01    4.903770e+01   -1.159742e-21   -3.081994e+01    6.143391e+01   -2.822610e+00
   1.455070e-01    4.618268e+01    6.130424e-01    4.556549e+01   -2.416210e-21   -3.046481e+01    5.844464e+01   -2.756831e+00
   1.509538e-01    4.291821e+01    5.981787e-01    4.231639e+01   -3.312748e-21   -3.010626e+01    5.557944e+01   -2.692176e+00
   1.566046e-01    3.986410e+01    5.835720e-01    3.927731e+01   -3.241709e-21   -2.974444e+01    5.283386e+01   -2.628631e+00
   1.624668e-01    3.700793e+01    5.692187e-01    3.643587e+01   -1.461747e-21   -2.937945e+01    5.020355e+01   -2.566180e+00
   1.685485e-01    3.433798e+01    5.551153e-01    3.378039e+01    2.852837e-21   -2.901144e+01    4.768436e+01   -2.504808e+00
   1.748579e-01    3.184321e+01    5.412583e-01    3.129981e+01    9.477701e-21   -2.864052e+01    4.527224e+01   -2.444499e+00
   1.814034e-01    2.951319e+01    5.276444e-01    2.898368e+01    1.705428e-20   -2.826684e+01    4.296331e+01   -2.385240e+00
   1.881940e-01    2.733800e+01    5.142703e-01    2.682213e+01    2.384345e-20   -2.789054e+01    4.075379e+01   -2.327017e+00
   1.952387e-01    2.530835e+01    5.011328e-01    2.480584e+01    2.769709e-20   -2.751176e+01    3.864006e+01   -2.269816e+00
   2.025472e-01    2.341539e+01    4.882289e-01    2.292601e+01    1.703331e-19   -2.713064e+01    3.661860e+01   -2.213623e+00
   2.101292e-01    2.165083e+01    4.755555e-01    2.117431e+01    1.178418e-18   -2.674735e+01    3.468600e+01   -2.158427e+00
   2.179951e-01    2.000679e+01    4.631096e-01    1.954289e+01    4.075697e-18   -2.636204e+01    3.283900e+01   -2.104214e+00
   2.261554e-01    1.847587e+01    4.508884e-01    1.802433e+01    1.014372e-17   -2.597486e+01    3.107440e+01   -2.050972e+00
