# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":4.227620490137321, "A":28,  "μ[AU]": 2.375e-01, "T[AU]": 1.838e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
   2.000000e-02    1.460754e+03    2.034805e+00    1.458977e+03   -6.322640e-45   -4.250217e+01    6.070645e+02   -8.520367e+00
   2.153336e-02    1.298523e+03    1.956464e+00    1.296795e+03   -7.538691e-45   -4.237717e+01    5.609040e+02   -8.196728e+00
   2.318427e-02    1.153748e+03    1.880832e+00    1.152069e+03   -8.508188e-45   -4.222117e+01    5.180705e+02   -7.884240e+00
   2.496176e-02    1.024584e+03    1.807808e+00    1.022954e+03   -9.185935e-45   -4.203518e+01    4.783281e+02   -7.582491e+00
   2.687552e-02    9.093793e+02    1.737297e+00    9.077991e+02   -9.525987e-45   -4.182015e+01    4.414580e+02   -7.291091e+00
   2.893601e-02    8.066562e+02    1.669208e+00    8.051254e+02   -9.483729e-45   -4.157696e+01    4.072569e+02   -7.009658e+00
   3.115447e-02    7.150918e+02    1.603450e+00    7.136104e+02   -9.018895e-45   -4.130639e+01    3.755359e+02   -6.737829e+00
   3.354302e-02    6.335024e+02    1.539940e+00    6.320701e+02   -8.099797e-45   -4.100917e+01    3.461196e+02   -6.475252e+00
   3.611469e-02    5.608293e+02    1.478596e+00    5.594451e+02   -6.709170e-45   -4.068598e+01    3.188451e+02   -6.221595e+00
   3.888352e-02    4.961237e+02    1.419340e+00    4.947873e+02   -4.852115e-45   -4.033744e+01    2.935611e+02   -5.976530e+00
   4.186463e-02    4.385379e+02    1.362095e+00    4.372484e+02   -2.566769e-45   -3.996414e+01    2.701272e+02   -5.739751e+00
   4.507430e-02    3.873124e+02    1.306790e+00    3.860691e+02    6.149995e-47   -3.956664e+01    2.484127e+02   -5.510958e+00
   4.853005e-02    3.417679e+02    1.253356e+00    3.405700e+02    2.881337e-45   -3.914545e+01    2.282965e+02   -5.289865e+00
   5.225074e-02    3.012967e+02    1.201726e+00    3.001433e+02    5.650807e-45   -3.870109e+01    2.096659e+02   -5.076200e+00
   5.625669e-02    2.653548e+02    1.151836e+00    2.642452e+02    8.005293e-45   -3.823405e+01    1.924162e+02   -4.869699e+00
   6.056977e-02    2.334559e+02    1.103625e+00    2.323888e+02    9.415817e-45   -3.774482e+01    1.764504e+02   -4.670113e+00
   6.521352e-02    2.051642e+02    1.057035e+00    2.041389e+02    9.135131e-45   -3.723389e+01    1.616779e+02   -4.477200e+00
   7.021330e-02    1.800905e+02    1.012010e+00    1.791059e+02    6.128231e-45   -3.670175e+01    1.480150e+02   -4.290731e+00
   7.559640e-02    1.578861e+02    9.684970e-01    1.569412e+02   -1.015741e-45   -3.614891e+01    1.353836e+02   -4.110486e+00
   8.139221e-02    1.382394e+02    9.264446e-01    1.373333e+02   -1.276252e-44   -3.557590e+01    1.237112e+02   -3.936255e+00
   8.763238e-02    1.208717e+02    8.858043e-01    1.200033e+02   -2.485006e-44   -3.498327e+01    1.129304e+02   -3.767838e+00
   9.435096e-02    1.055334e+02    8.465296e-01    1.047017e+02   -2.970705e-44   -3.437161e+01    1.029785e+02   -3.605044e+00
   1.015846e-01    9.200154e+01    8.085764e-01    9.120563e+01   -1.610932e-44   -3.374155e+01    9.379722e+01   -3.447691e+00
   1.093729e-01    8.007666e+01    7.719025e-01    7.931554e+01    3.020578e-44   -3.309374e+01    8.533233e+01   -3.295606e+00
   1.177583e-01    6.958052e+01    7.364679e-01    6.885315e+01    9.152263e-44   -3.242890e+01    7.753338e+01   -3.148625e+00
   1.267866e-01    6.035362e+01    7.022344e-01    5.965906e+01    1.026799e-43   -3.174780e+01    7.035339e+01   -3.006590e+00
   1.365070e-01    5.225354e+01    6.691658e-01    5.159080e+01   -3.502710e-44   -3.105124e+01    6.374863e+01   -2.869355e+00
   1.469727e-01    4.515294e+01    6.372277e-01    4.452105e+01   -3.235585e-43   -3.034011e+01    5.767835e+01   -2.736776e+00
   1.582408e-01    3.893806e+01    6.063875e-01    3.833609e+01   -3.510719e-43   -2.961534e+01    5.210461e+01   -2.608722e+00
   1.703728e-01    3.350733e+01    5.766142e-01    3.293435e+01    5.273587e-43   -2.887795e+01    4.699199e+01   -2.485064e+00
   1.834349e-01    2.877006e+01    5.478782e-01    2.822515e+01    1.528436e-42   -2.812899e+01    4.230751e+01   -2.365683e+00
   1.974984e-01    2.464531e+01    5.201518e-01    2.412756e+01   -8.423486e-43   -2.736961e+01    3.802037e+01   -2.250465e+00
   2.126402e-01    2.106089e+01    4.934083e-01    2.056941e+01   -5.674139e-42   -2.660100e+01    3.410180e+01   -2.139301e+00
   2.289428e-01    1.795247e+01    4.676226e-01    1.748636e+01    5.216596e-42   -2.582442e+01    3.052497e+01   -2.032091e+00
   2.464954e-01    1.526269e+01    4.427707e-01    1.482111e+01    2.038389e-41   -2.504121e+01    2.726478e+01   -1.928737e+00
   2.653937e-01    1.294054e+01    4.188295e-01    1.252262e+01   -5.327243e-41   -2.425274e+01    2.429777e+01   -1.829146e+00
   2.857408e-01    1.094062e+01    3.957774e-01    1.054553e+01    3.022264e-41   -2.346044e+01    2.160200e+01   -1.733231e+00
   3.076479e-01    9.222614e+00    3.735932e-01    8.849531e+00    4.016571e-40   -2.266581e+01    1.915695e+01   -1.640909e+00
