# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":2.1015311340434395, "A":28,  "μ[AU]": -9.413e-01, "T[AU]": 3.675e-01, "rs[AU]": 5.441e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    1.00000e-03     1.41389e+05     6.63155e-01     1.41398e+05     0.00000e+00    -5.09810e+01     1.29488e+04    -3.86624e+01
    1.27081e-03     9.85898e+04     5.88066e-01     9.85986e+04     0.00000e+00    -5.09809e+01     1.01785e+04    -3.43017e+01
    1.61496e-03     6.87221e+04     5.21420e-01     6.87304e+04     0.00000e+00    -5.08727e+01     7.99862e+03    -3.04308e+01
    2.05231e-03     4.78813e+04     4.62260e-01     4.78890e+04     0.00000e+00    -5.06684e+01     6.28342e+03    -2.69942e+01
    2.60810e-03     3.33416e+04     4.09736e-01     3.33403e+04     0.00000e+00    -5.03755e+01     4.93386e+03    -2.39427e+01
    3.31440e-03     2.32002e+04     3.63094e-01     2.31992e+04     0.00000e+00    -4.99978e+01     3.87204e+03    -2.12324e+01
    4.21198e-03     1.61286e+04     3.21666e-01     1.61278e+04     0.00000e+00    -4.95364e+01     3.03666e+03    -1.88246e+01
    5.35263e-03     1.11995e+04     2.84858e-01     1.11989e+04     0.00000e+00    -4.89897e+01     2.37949e+03    -1.66848e+01
    6.80218e-03     7.76542e+03     2.52143e-01     7.76496e+03     0.00000e+00    -4.83543e+01     1.86256e+03    -1.47824e+01
    8.64428e-03     5.37453e+03     2.23054e-01     5.37417e+03     0.00000e+00    -4.76251e+01     1.45602e+03    -1.30903e+01
    1.09852e-02     3.71133e+03     1.97176e-01     3.71103e+03     0.00000e+00    -4.67955e+01     1.13637e+03    -1.15844e+01
    1.39602e-02     2.55560e+03     1.74142e-01     2.55536e+03     0.00000e+00    -4.58578e+01     8.85124e+02    -1.02435e+01
    1.77407e-02     1.75364e+03     1.53627e-01     1.75345e+03     0.00000e+00    -4.48035e+01     6.87734e+02    -9.04850e+00
    2.25451e-02     1.19819e+03     1.35343e-01     1.19802e+03     0.00000e+00    -4.36235e+01     5.32759e+02    -7.98282e+00
    2.86506e-02     8.14376e+02     1.19034e-01     8.14237e+02     0.00000e+00    -4.23089e+01     4.11195e+02    -7.03161e+00
    3.64095e-02     5.49971e+02     1.04478e-01     5.49853e+02     0.00000e+00    -4.08509e+01     3.15960e+02    -6.18184e+00
    4.62696e-02     3.68533e+02     9.14767e-02     3.68433e+02     0.00000e+00    -3.92424e+01     2.41481e+02    -5.42202e+00
    5.87999e-02     2.44646e+02     7.98582e-02     2.44561e+02     0.00000e+00    -3.74782e+01     1.83372e+02    -4.74210e+00
    7.47236e-02     1.60590e+02     6.94727e-02     1.60517e+02     0.00000e+00    -3.55565e+01     1.38179e+02    -4.13331e+00
    9.49596e-02     1.04011e+02     6.01908e-02     1.03949e+02     0.00000e+00    -3.34800e+01     1.03181e+02    -3.58805e+00
    1.20676e-01     6.63082e+01     5.19020e-02     6.62551e+01     0.00000e+00    -3.12572e+01     7.62306e+01    -3.09978e+00
