# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":6.280643130043385, "A":28,  "μ[AU]": -1.702e+01, "T[AU]": 3.675e+00, "rs[AU]": 5.441e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    5.44130e-02     2.92276e+02     8.28913e-02     2.92194e+02     0.00000e+00    -1.75998e+01     2.21075e+02    -6.65681e+00
    1.08826e-01     8.03057e+01     5.70206e-02     8.02487e+01     0.00000e+00    -1.75998e+01     1.01618e+02    -4.35875e+00
    1.63239e-01     3.35597e+01     4.56087e-02     3.35141e+01     0.00000e+00    -1.60864e+01     6.33125e+01    -3.27937e+00
    2.17652e-01     1.64567e+01     3.89331e-02     1.64177e+01     0.00000e+00    -1.44699e+01     4.50196e+01    -2.60214e+00
    2.72065e-01     8.66934e+00     3.44794e-02     8.63481e+00     0.00000e+00    -1.30207e+01     3.45230e+01    -2.11535e+00
    3.26478e-01     4.70713e+00     3.12588e-02     4.67583e+00     0.00000e+00    -1.17868e+01     2.77932e+01    -1.73812e+00
    3.80891e-01     2.59661e+00     2.87977e-02     2.56777e+00     0.00000e+00    -1.07543e+01     2.31373e+01    -1.43682e+00
    4.35304e-01     1.46692e+00     2.68425e-02     1.44004e+00     0.00000e+00    -9.89407e+00     1.97312e+01    -1.19800e+00
    4.89717e-01     8.65225e-01     2.52455e-02     8.39944e-01     0.00000e+00    -9.17544e+00     1.71316e+01    -1.01358e+00
    5.44130e-01     5.40666e-01     2.39131e-02     5.16719e-01     0.00000e+00    -8.57072e+00     1.50817e+01    -8.74040e-01
    5.98543e-01     3.59146e-01     2.27818e-02     3.36332e-01     0.00000e+00    -8.05704e+00     1.34235e+01    -7.68818e-01
    6.52956e-01     2.52438e-01     2.18067e-02     2.30600e-01     0.00000e+00    -7.61627e+00     1.20543e+01    -6.88668e-01
    7.07369e-01     1.86320e-01     2.09555e-02     1.65334e-01     0.00000e+00    -7.23433e+00     1.09047e+01    -6.26572e-01
    7.61782e-01     1.43280e-01     2.02042e-02     1.23045e-01     0.00000e+00    -6.90028e+00     9.92605e+00    -5.77548e-01
    8.16195e-01     1.14007e-01     1.95349e-02     9.44416e-02     0.00000e+00    -6.60563e+00     9.08302e+00    -5.38127e-01
    8.70608e-01     9.33248e-02     1.89339e-02     7.43611e-02     0.00000e+00    -6.34371e+00     8.34947e+00    -5.05892e-01
    9.25021e-01     7.82266e-02     1.83905e-02     5.98064e-02     0.00000e+00    -6.10925e+00     7.70557e+00    -4.79131e-01
    9.79434e-01     6.68897e-02     1.78961e-02     4.89640e-02     0.00000e+00    -5.89802e+00     7.13604e+00    -4.56617e-01
    1.03385e+00     5.81678e-02     1.74439e-02     4.06943e-02     0.00000e+00    -5.70661e+00     6.62887e+00    -4.37451e-01
    1.08826e+00     5.13151e-02     1.70284e-02     3.42571e-02     0.00000e+00    -5.53225e+00     6.17451e+00    -4.20964e-01
    1.14267e+00     4.58313e-02     1.66451e-02     2.91567e-02     0.00000e+00    -5.37264e+00     5.76528e+00    -4.06650e-01
    1.19709e+00     4.13720e-02     1.62899e-02     2.50526e-02     0.00000e+00    -5.22590e+00     5.39489e+00    -3.94120e-01
    1.25150e+00     3.76941e-02     1.59599e-02     2.17048e-02     0.00000e+00    -5.09042e+00     5.05821e+00    -3.83071e-01
    1.30591e+00     3.46227e-02     1.56522e-02     1.89411e-02     0.00000e+00    -4.96487e+00     4.75094e+00    -3.73263e-01
