# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":0.01, "A":28,  "μ[AU]": -2.920e+00, "T[AU]": 3.675e-01, "rs[AU]": 5.441e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    1.00000e-03     1.41438e+05     1.90185e-02     1.41539e+05     0.00000e+00    -4.09023e+01     1.29589e+04    -3.86668e+01
    2.68741e-03     3.19211e+04     1.15811e-02     3.19357e+04     0.00000e+00    -4.09005e+01     4.79623e+03    -2.35997e+01
    7.22218e-03     7.13330e+03     7.03087e-03     7.13642e+03     0.00000e+00    -3.74262e+01     1.76235e+03    -1.43734e+01
    1.94090e-02     1.54447e+03     4.22701e-03     1.54504e+03     0.00000e+00    -3.57583e+01     6.33797e+02    -8.67804e+00
    5.21599e-02     3.16645e+02     2.50143e-03     3.16736e+02     0.00000e+00    -2.88777e+01     2.20117e+02    -5.15936e+00
    1.40175e-01     5.45067e+01     1.40841e-03     5.45093e+01     0.00000e+00    -2.36954e+01     6.88069e+01    -2.90888e+00
    3.76708e-01     8.23353e+00     7.82239e-04     8.23282e+00     0.00000e+00    -1.34263e+01     2.08443e+01    -1.58239e+00
    1.01237e+00     4.72212e-01     3.85445e-04     4.71780e-01     0.00000e+00    -7.46096e+00     5.14130e+00    -6.41003e-01
    1.81377e+00     1.49931e-02     2.53254e-04     1.47562e-02     0.00000e+00    -4.39921e+00     2.52928e+00    -2.26165e-01
    2.42949e+00     2.09542e-03     2.05467e-04     1.89296e-03     0.00000e+00    -3.26454e+00     1.84746e+00    -1.26109e-01
    3.04522e+00     6.51356e-04     1.72921e-04     4.79431e-04     0.00000e+00    -2.58075e+00     1.44933e+00    -8.82284e-02
    3.66094e+00     3.04689e-04     1.47907e-04     1.57293e-04     0.00000e+00    -2.12439e+00     1.18769e+00    -6.90981e-02
    4.27667e+00     1.79068e-04     1.27134e-04     5.22509e-05     0.00000e+00    -1.79820e+00     1.00264e+00    -5.82671e-02
    4.89239e+00     1.20995e-04     1.08586e-04     1.26319e-05     0.00000e+00    -1.55336e+00     8.64911e-01    -5.16838e-02
    5.50812e+00     8.95054e-05     8.96675e-05     0.00000e+00     1.48185e-03    -1.36275e+00     7.58486e-01    -4.71660e-02
    6.12384e+00     7.04698e-05     7.05926e-05    -4.39756e-22     1.48185e-03    -1.21015e+00     6.73783e-01    -4.38793e-02
    6.73957e+00     5.80283e-05     5.81244e-05    -9.97211e-22     1.48185e-03    -1.08520e+00     6.04797e-01    -4.13851e-02
    7.35530e+00     4.94046e-05     4.94818e-05    -1.50985e-21     1.48185e-03    -9.80971e-01     5.47550e-01    -3.94303e-02
    7.97102e+00     4.31486e-05     4.32119e-05    -1.95760e-21     1.48185e-03    -8.92695e-01     4.99299e-01    -3.78587e-02
    8.58675e+00     3.84428e-05     3.84956e-05    -2.34416e-21     1.48185e-03    -8.16955e-01     4.58093e-01    -3.65687e-02
    9.20247e+00     3.47976e-05     3.48421e-05    -2.67805e-21     1.48185e-03    -7.51244e-01     4.22506e-01    -3.54916e-02
    9.81820e+00     3.19039e-05     3.19425e-05    -2.96778e-21     1.48185e-03    -6.93686e-01     3.91472e-01    -3.45791e-02
    1.00000e+01     3.11664e-05     3.12037e-05    -3.04548e-21     1.48185e-03    -6.77976e-01     3.83111e-01    -3.43374e-02
    1.04339e+01     2.95700e-05     2.96043e-05    -3.21958e-21     1.48185e-03    -6.42719e-01     3.64304e-01    -3.38001e-02
    1.10496e+01     2.76385e-05     2.76693e-05    -3.44177e-21     1.48185e-03    -5.97465e-01     3.40130e-01    -3.31223e-02
    1.16654e+01     2.60233e-05     2.60509e-05    -3.63827e-21     1.48185e-03    -5.56930e-01     3.18566e-01    -3.25294e-02
    1.22811e+01     2.46550e-05     2.46800e-05    -3.81311e-21     1.48185e-03    -5.20409e-01     2.99215e-01    -3.20068e-02
    1.27758e+01     2.37014e-05     2.37245e-05    -3.93991e-21     1.48185e-03    -4.93560e-01     2.85074e-01    -3.16304e-02
    1.28968e+01     2.34855e-05     2.35081e-05    -3.96921e-21     1.48185e-03    -4.87293e-01     2.81793e-01    -3.15437e-02
    1.35125e+01     2.24716e-05     2.24923e-05    -4.10990e-21     1.48185e-03    -4.57187e-01     2.65968e-01    -3.11290e-02
