# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":0.953298549706431, "A":28,  "μ[AU]": -7.527e-02, "T[AU]": 3.675e-02, "rs[AU]": 5.441e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    1.00000e-03     1.40654e+05     0.00000e+00     1.41372e+05     0.00000e+00    -5.15744e+01     1.29482e+04    -3.85956e+01
    1.27081e-03     9.80783e+04    1.01266e-128     9.85786e+04     0.00000e+00    -5.15743e+01     1.01779e+04    -3.42425e+01
    1.61496e-03     6.83660e+04    7.34281e-101     6.87145e+04     0.00000e+00    -5.14667e+01     7.99803e+03    -3.03784e+01
    2.05231e-03     4.76337e+04     5.74238e-79     4.78761e+04     0.00000e+00    -5.12634e+01     6.28282e+03    -2.69479e+01
    2.60810e-03     3.31696e+04     9.03544e-62     3.33381e+04     0.00000e+00    -5.09720e+01     4.93326e+03    -2.39017e+01
    3.31440e-03     2.30808e+04     2.86049e-48     2.31979e+04     0.00000e+00    -5.05963e+01     3.87144e+03    -2.11962e+01
    4.21198e-03     1.60459e+04     1.11550e-37     1.61271e+04     0.00000e+00    -5.01372e+01     3.03606e+03    -1.87926e+01
    5.35263e-03     1.11423e+04     2.22963e-29     1.11985e+04     0.00000e+00    -4.95933e+01     2.37888e+03    -1.66565e+01
    6.80218e-03     7.72601e+03     7.01380e-23     7.76481e+03     0.00000e+00    -4.89611e+01     1.86195e+03    -1.47575e+01
    8.64428e-03     5.34746e+03     2.65470e-01     5.37418e+03     0.00000e+00    -4.82356e+01     1.45541e+03    -1.30685e+01
    1.09852e-02     3.69281e+03     2.34647e-01     3.71114e+03     0.00000e+00    -4.74102e+01     1.13576e+03    -1.15653e+01
    1.39602e-02     2.54301e+03     2.07209e-01     2.55552e+03     0.00000e+00    -4.64772e+01     8.84504e+02    -1.02268e+01
    1.77407e-02     1.74514e+03     1.82767e-01     1.75364e+03     0.00000e+00    -4.54281e+01     6.87109e+02    -9.03403e+00
    2.25451e-02     1.19250e+03     1.60979e-01     1.19823e+03     0.00000e+00    -4.42540e+01     5.32128e+02    -7.97034e+00
    2.86506e-02     8.10613e+02     1.41541e-01     8.14438e+02     0.00000e+00    -4.29457e+01     4.10558e+02    -7.02093e+00
    3.64095e-02     5.47520e+02     1.24185e-01     5.50016e+02     0.00000e+00    -4.14947e+01     3.15316e+02    -6.17280e+00
    4.62696e-02     3.66970e+02     1.08677e-01     3.68587e+02     0.00000e+00    -3.98937e+01     2.40829e+02    -5.41448e+00
    5.87999e-02     2.43677e+02     9.48103e-02     2.44704e+02     0.00000e+00    -3.81374e+01     1.82712e+02    -4.73595e+00
    7.47236e-02     1.60013e+02     8.24056e-02     1.60648e+02     0.00000e+00    -3.62241e+01     1.37511e+02    -4.12846e+00
    9.49596e-02     1.03690e+02     7.13076e-02     1.04068e+02     0.00000e+00    -3.41561e+01     1.02505e+02    -3.58444e+00
    1.20676e-01     6.61487e+01     6.13828e-02     6.63613e+01     0.00000e+00    -3.19418e+01     7.55460e+01    -3.09736e+00
    1.53356e-01     4.14335e+01     5.25176e-02     4.15433e+01     0.00000e+00    -2.95965e+01     5.49346e+01    -2.66168e+00
    1.94887e-01     2.54077e+01     4.46159e-02     2.54556e+01     0.00000e+00    -2.71437e+01     3.93229e+01    -2.27268e+00
    2.47664e-01     1.52056e+01     3.75967e-02     1.52183e+01     0.00000e+00    -2.46150e+01     2.76366e+01    -1.92641e+00
    3.14734e-01     8.85214e+00     3.13918e-02     8.84646e+00     0.00000e+00    -2.20504e+01     1.90154e+01    -1.61951e+00
    3.99968e-01     4.99632e+00     2.59426e-02     4.98245e+00     0.00000e+00    -1.94962e+01     1.27675e+01    -1.34907e+00
    5.08283e-01     2.72490e+00     2.11966e-02     2.70870e+00     0.00000e+00    -1.70026e+01     8.33478e+00    -1.11250e+00
    6.45932e-01     1.43104e+00     1.71040e-02     1.41555e+00     0.00000e+00    -1.46200e+01     5.26705e+00    -9.07306e-01
    8.20857e-01     7.20724e-01     1.36129e-02     7.07326e-01     0.00000e+00    -1.23947e+01     3.20346e+00    -7.30845e-01
    1.04315e+00     3.46276e-01     1.06694e-02     3.35361e-01     0.00000e+00    -1.03653e+01     1.85800e+00    -5.82545e-01
    1.32565e+00     1.56327e-01     8.19569e-03     1.47820e-01     0.00000e+00    -8.55929e+00     1.00829e+00    -4.56741e-01
