# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":1.661865234375, "A":28,  "μ[AU]": -3.742e-01, "T[AU]": 1.838e-01, "rs[AU]": 5.441e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    1.00000e-03     1.41476e+05     7.14368e-32     1.41477e+05     0.00000e+00    -5.26493e+01     1.29471e+04    -3.86703e+01
    1.05632e-03     1.30284e+05     3.97634e-30     1.30285e+05     0.00000e+00    -5.26271e+01     1.22540e+04    -3.76266e+01
    1.11582e-03     1.19975e+05     1.77875e-28     1.19977e+05     0.00000e+00    -5.26007e+01     1.15978e+04    -3.66111e+01
    1.17867e-03     1.10481e+05     6.46955e-27     1.10482e+05     0.00000e+00    -5.25702e+01     1.09766e+04    -3.56228e+01
    1.24506e-03     1.01736e+05     1.93442e-25     1.01738e+05     0.00000e+00    -5.25358e+01     1.03885e+04    -3.46611e+01
    1.31519e-03     9.36813e+04     4.80487e-24     9.36832e+04     0.00000e+00    -5.24973e+01     9.83179e+03    -3.37253e+01
    1.38926e-03     8.62629e+04     1.00128e-22     8.62648e+04     0.00000e+00    -5.24550e+01     9.30477e+03    -3.28146e+01
    1.46751e-03     7.94303e+04     1.76700e-21     7.94322e+04     0.00000e+00    -5.24088e+01     8.80587e+03    -3.19283e+01
    1.55017e-03     7.31374e+04     2.66423e-20     7.31393e+04     0.00000e+00    -5.23587e+01     8.33357e+03    -3.10659e+01
    1.63749e-03     6.73414e+04     3.46101e-19     6.73433e+04     0.00000e+00    -5.23049e+01     7.88646e+03    -3.02266e+01
    1.72972e-03     6.20033e+04     3.90461e-18     6.20052e+04     0.00000e+00    -5.22474e+01     7.46319e+03    -2.94099e+01
    1.82714e-03     5.70869e+04     5.26137e-01     5.70888e+04     0.00000e+00    -5.21860e+01     7.06251e+03    -2.86150e+01
    1.93006e-03     5.25589e+04     5.11843e-01     5.25608e+04     0.00000e+00    -5.21210e+01     6.68319e+03    -2.78415e+01
    2.03877e-03     4.83886e+04     4.97932e-01     4.83906e+04     0.00000e+00    -5.20523e+01     6.32411e+03    -2.70887e+01
    2.15360e-03     4.45480e+04     4.84394e-01     4.45499e+04     0.00000e+00    -5.19798e+01     5.98419e+03    -2.63561e+01
    2.27490e-03     4.10108e+04     4.71219e-01     4.10127e+04     0.00000e+00    -5.19036e+01     5.66239e+03    -2.56431e+01
    2.40303e-03     3.77533e+04     4.58398e-01     3.77552e+04     0.00000e+00    -5.18237e+01     5.35776e+03    -2.49493e+01
    2.53839e-03     3.47532e+04     4.45920e-01     3.47551e+04     0.00000e+00    -5.17400e+01     5.06939e+03    -2.42739e+01
    2.68136e-03     3.19904e+04     4.33777e-01     3.19923e+04     0.00000e+00    -5.16526e+01     4.79640e+03    -2.36167e+01
    2.83239e-03     2.94460e+04     4.21959e-01     2.94479e+04     0.00000e+00    -5.15614e+01     4.53797e+03    -2.29770e+01
    2.99192e-03     2.71029e+04     4.10457e-01     2.71047e+04     0.00000e+00    -5.14664e+01     4.29333e+03    -2.23545e+01
    3.16044e-03     2.49451e+04     3.99263e-01     2.49469e+04     0.00000e+00    -5.13676e+01     4.06175e+03    -2.17485e+01
    3.33845e-03     2.29581e+04     3.88368e-01     2.29599e+04     0.00000e+00    -5.12649e+01     3.84252e+03    -2.11588e+01
    3.52649e-03     2.11283e+04     3.77765e-01     2.11300e+04     0.00000e+00    -5.11583e+01     3.63499e+03    -2.05848e+01
    3.72512e-03     1.94433e+04     3.67444e-01     1.94450e+04     0.00000e+00    -5.10477e+01     3.43854e+03    -2.00261e+01
    3.93493e-03     1.78918e+04     3.57399e-01     1.78934e+04     0.00000e+00    -5.09332e+01     3.25257e+03    -1.94822e+01
    4.15657e-03     1.64631e+04     3.47623e-01     1.64647e+04     0.00000e+00    -5.08146e+01     3.07653e+03    -1.89529e+01
    4.39069e-03     1.51475e+04     3.38106e-01     1.51492e+04     0.00000e+00    -5.06918e+01     2.90988e+03    -1.84377e+01
    4.63799e-03     1.39362e+04     3.28844e-01     1.39378e+04     0.00000e+00    -5.05650e+01     2.75213e+03    -1.79361e+01
    4.89923e-03     1.28209e+04     3.19828e-01     1.28225e+04     0.00000e+00    -5.04338e+01     2.60281e+03    -1.74479e+01
    5.17517e-03     1.17941e+04     3.11052e-01     1.17956e+04     0.00000e+00    -5.02984e+01     2.46146e+03    -1.69727e+01
    5.46667e-03     1.08486e+04     3.02510e-01     1.08481e+04     0.00000e+00    -5.01586e+01     2.32765e+03    -1.65101e+01
    5.77458e-03     9.97819e+03     2.94194e-01     9.97773e+03     0.00000e+00    -5.00144e+01     2.20099e+03    -1.60597e+01
    6.09983e-03     9.17683e+03     2.86099e-01     9.17640e+03     0.00000e+00    -4.98657e+01     2.08110e+03    -1.56213e+01
    6.44340e-03     8.43910e+03     2.78219e-01     8.43869e+03     0.00000e+00    -4.97124e+01     1.96762e+03    -1.51945e+01
    6.80632e-03     7.75997e+03     2.70548e-01     7.75957e+03     0.00000e+00    -4.95544e+01     1.86020e+03    -1.47789e+01
    7.18969e-03     7.13480e+03     2.63080e-01     7.13442e+03     0.00000e+00    -4.93916e+01     1.75851e+03    -1.43744e+01
    7.59465e-03     6.55933e+03     2.55810e-01     6.55897e+03     0.00000e+00    -4.92241e+01     1.66227e+03    -1.39805e+01
    8.02241e-03     6.02963e+03     2.48731e-01     6.02929e+03     0.00000e+00    -4.90515e+01     1.57117e+03    -1.35970e+01
    8.47427e-03     5.54209e+03     2.41840e-01     5.54176e+03     0.00000e+00    -4.88740e+01     1.48494e+03    -1.32236e+01
    8.95159e-03     5.09337e+03     2.35131e-01     5.09305e+03     0.00000e+00    -4.86913e+01     1.40333e+03    -1.28601e+01
    9.45578e-03     4.68040e+03     2.28598e-01     4.68009e+03     0.00000e+00    -4.85034e+01     1.32608e+03    -1.25061e+01
    9.98838e-03     4.30035e+03     2.22237e-01     4.30006e+03     0.00000e+00    -4.83101e+01     1.25296e+03    -1.21614e+01
    1.05510e-02     3.95062e+03     2.16044e-01     3.95034e+03     0.00000e+00    -4.81114e+01     1.18376e+03    -1.18257e+01
    1.11453e-02     3.62881e+03     2.10013e-01     3.62854e+03     0.00000e+00    -4.79072e+01     1.11827e+03    -1.14988e+01
    1.17730e-02     3.33271e+03     2.04140e-01     3.33246e+03     0.00000e+00    -4.76974e+01     1.05628e+03    -1.11805e+01
    1.24361e-02     3.06029e+03     1.98422e-01     3.06004e+03     0.00000e+00    -4.74818e+01     9.97621e+02    -1.08704e+01
    1.31366e-02     2.80967e+03     1.92853e-01     2.80943e+03     0.00000e+00    -4.72604e+01     9.42103e+02    -1.05685e+01
    1.38765e-02     2.57912e+03     1.87429e-01     2.57889e+03     0.00000e+00    -4.70330e+01     8.89564e+02    -1.02744e+01
    1.46581e-02     2.36705e+03     1.82147e-01     2.36684e+03     0.00000e+00    -4.67995e+01     8.39844e+02    -9.98800e+00
    1.54837e-02     2.17201e+03     1.77003e-01     2.17180e+03     0.00000e+00    -4.65598e+01     7.92793e+02    -9.70901e+00
    1.63558e-02     1.99263e+03     1.71992e-01     1.99243e+03     0.00000e+00    -4.63138e+01     7.48271e+02    -9.43725e+00
    1.72771e-02     1.82768e+03     1.67112e-01     1.82749e+03     0.00000e+00    -4.60613e+01     7.06142e+02    -9.17253e+00
    1.82502e-02     1.67601e+03     1.62358e-01     1.67583e+03     0.00000e+00    -4.58024e+01     6.66280e+02    -8.91464e+00
    1.92781e-02     1.53657e+03     1.57728e-01     1.53639e+03     0.00000e+00    -4.55367e+01     6.28563e+02    -8.66341e+00
    2.03640e-02     1.40839e+03     1.53217e-01     1.40822e+03     0.00000e+00    -4.52643e+01     5.92879e+02    -8.41866e+00
    2.15110e-02     1.29057e+03     1.48823e-01     1.29041e+03     0.00000e+00    -4.49850e+01     5.59119e+02    -8.18019e+00
    2.27226e-02     1.18230e+03     1.44542e-01     1.18213e+03     0.00000e+00    -4.46987e+01     5.27181e+02    -7.94785e+00
    2.40024e-02     1.08280e+03     1.40371e-01     1.08264e+03     0.00000e+00    -4.44053e+01     4.96968e+02    -7.72146e+00
    2.53544e-02     9.91383e+02     1.36308e-01     9.91233e+02     0.00000e+00    -4.41047e+01     4.68389e+02    -7.50086e+00
    2.67824e-02     9.07407e+02     1.32349e-01     9.07262e+02     0.00000e+00    -4.37967e+01     4.41357e+02    -7.28589e+00
    2.82910e-02     8.30277e+02     1.28491e-01     8.30138e+02     0.00000e+00    -4.34813e+01     4.15791e+02    -7.07640e+00
    2.98844e-02     7.59448e+02     1.24732e-01     7.59314e+02     0.00000e+00    -4.31584e+01     3.91612e+02    -6.87224e+00
    3.15677e-02     6.94418e+02     1.21069e-01     6.94287e+02     0.00000e+00    -4.28278e+01     3.68747e+02    -6.67327e+00
    3.33457e-02     6.34722e+02     1.17500e-01     6.34596e+02     0.00000e+00    -4.24894e+01     3.47127e+02    -6.47934e+00
    3.52239e-02     5.79935e+02     1.14021e-01     5.79814e+02     0.00000e+00    -4.21433e+01     3.26685e+02    -6.29031e+00
    3.72079e-02     5.29665e+02     1.10631e-01     5.29548e+02     0.00000e+00    -4.17892e+01     3.07360e+02    -6.10606e+00
    3.93036e-02     4.83549e+02     1.07327e-01     4.83436e+02     0.00000e+00    -4.14271e+01     2.89092e+02    -5.92646e+00
    4.15174e-02     4.41255e+02     1.04107e-01     4.41146e+02     0.00000e+00    -4.10569e+01     2.71826e+02    -5.75138e+00
    4.38559e-02     4.02477e+02     1.00968e-01     4.02371e+02     0.00000e+00    -4.06786e+01     2.55508e+02    -5.58069e+00
    4.63260e-02     3.66931e+02     9.79090e-02     3.66828e+02     0.00000e+00    -4.02921e+01     2.40089e+02    -5.41429e+00
    4.89353e-02     3.34357e+02     9.49270e-02     3.34259e+02     0.00000e+00    -3.98974e+01     2.25520e+02    -5.25206e+00
    5.16916e-02     3.04518e+02     9.20202e-02     3.04422e+02     0.00000e+00    -3.94943e+01     2.11758e+02    -5.09388e+00
