# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":5.794329128483285, "A":28,  "μ[AU]": -6.803e+00, "T[AU]": 1.838e+00, "rs[AU]": 5.441e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    1.00000e-03     1.41364e+05     8.12364e-01     1.41358e+05     0.00000e+00    -4.66619e+01     1.29531e+04    -3.86601e+01
    1.27081e-03     9.85674e+04     7.20423e-01     9.85636e+04     0.00000e+00    -4.66618e+01     1.01828e+04    -3.42991e+01
    1.61496e-03     6.87023e+04     6.38826e-01     6.86995e+04     0.00000e+00    -4.65536e+01     8.00294e+03    -3.04279e+01
    2.05231e-03     4.78637e+04     5.66400e-01     4.78617e+04     0.00000e+00    -4.63494e+01     6.28774e+03    -2.69909e+01
    2.60810e-03     3.33260e+04     5.02105e-01     3.33245e+04     0.00000e+00    -4.60566e+01     4.93818e+03    -2.39390e+01
    3.31440e-03     2.31864e+04     4.45019e-01     2.31852e+04     0.00000e+00    -4.56791e+01     3.87636e+03    -2.12282e+01
    4.21198e-03     1.61163e+04     3.94324e-01     1.61154e+04     0.00000e+00    -4.52178e+01     3.04098e+03    -1.88199e+01
    5.35263e-03     1.11886e+04     3.49291e-01     1.11879e+04     0.00000e+00    -4.46714e+01     2.38380e+03    -1.66794e+01
    6.80218e-03     7.75580e+03     3.09278e-01     7.75526e+03     0.00000e+00    -4.40365e+01     1.86688e+03    -1.47763e+01
    8.64428e-03     5.36602e+03     2.73713e-01     5.36558e+03     0.00000e+00    -4.33079e+01     1.46034e+03    -1.30834e+01
    1.09852e-02     3.70380e+03     2.42090e-01     3.70345e+03     0.00000e+00    -4.24792e+01     1.14069e+03    -1.15766e+01
    1.39602e-02     2.54894e+03     2.13959e-01     2.54865e+03     0.00000e+00    -4.15428e+01     8.89439e+02    -1.02347e+01
    1.77407e-02     1.74777e+03     1.88923e-01     1.74753e+03     0.00000e+00    -4.04904e+01     6.92047e+02    -9.03851e+00
    2.25451e-02     1.19300e+03     1.66633e-01     1.19280e+03     0.00000e+00    -3.93132e+01     5.37069e+02    -7.97145e+00
    2.86506e-02     8.09807e+02     1.46778e-01     8.09637e+02     0.00000e+00    -3.80023e+01     4.15501e+02    -7.01864e+00
    3.64095e-02     5.45949e+02     1.29086e-01     5.45805e+02     0.00000e+00    -3.65499e+01     3.20261e+02    -6.16698e+00
    4.62696e-02     3.64998e+02     1.13319e-01     3.64875e+02     0.00000e+00    -3.49492e+01     2.45774e+02    -5.40494e+00
    5.87999e-02     2.41545e+02     9.92702e-02     2.41439e+02     0.00000e+00    -3.31961e+01     1.87654e+02    -4.72237e+00
    7.47236e-02     1.57872e+02     8.67600e-02     1.57781e+02     0.00000e+00    -3.12901e+01     1.42445e+02    -4.11036e+00
    9.49596e-02     1.01633e+02     7.56350e-02     1.01555e+02     0.00000e+00    -2.92359e+01     1.07425e+02    -3.56115e+00
    1.20676e-01     6.42296e+01     6.57650e-02     6.41625e+01     0.00000e+00    -2.70448e+01     8.04430e+01    -3.06791e+00
    1.53356e-01     3.96786e+01     5.70408e-02     3.96208e+01     0.00000e+00    -2.47362e+01     5.97949e+01    -2.62467e+00
    1.94887e-01     2.38255e+01     4.93703e-02     2.37757e+01     0.00000e+00    -2.23394e+01     4.41272e+01    -2.22605e+00
    2.47664e-01     1.37942e+01     4.26746e-02     1.37513e+01     0.00000e+00    -1.98944e+01     3.23572e+01    -1.86705e+00
    3.14734e-01     7.60504e+00     3.68806e-02     7.56808e+00     0.00000e+00    -1.74524e+01     2.36134e+01    -1.54271e+00
    3.99968e-01     3.91009e+00     3.19121e-02     3.87816e+00     0.00000e+00    -1.50758e+01     1.71880e+01    -1.24776e+00
    5.08283e-01     1.81277e+00     2.76776e-02     1.78510e+00     0.00000e+00    -1.28358e+01     1.25016e+01    -9.77730e-01
    6.45932e-01     7.34835e-01     2.40669e-02     7.10778e-01     0.00000e+00    -1.08068e+01     9.08023e+00    -7.35320e-01
    8.20857e-01     2.73490e-01     2.09742e-02     2.52521e-01     0.00000e+00    -9.04887e+00     6.54932e+00    -5.41821e-01
    1.04315e+00     1.08062e-01     1.83067e-02     8.97570e-02     0.00000e+00    -7.58094e+00     4.64235e+00    -4.08329e-01
    1.32565e+00     4.98767e-02     1.59855e-02     3.38918e-02     0.00000e+00    -6.37981e+00     3.18777e+00    -3.23517e-01
    1.68465e+00     2.71139e-02     1.39472e-02     1.31668e-02     0.00000e+00    -5.40280e+00     2.07500e+00    -2.69676e-01
    1.81377e+00     2.33190e-02     1.33963e-02     9.92282e-03     0.00000e+00    -5.12650e+00     1.80199e+00    -2.57846e-01
    1.96770e+00     2.00457e-02     1.28181e-02     7.22767e-03     0.00000e+00    -4.83912e+00     1.52867e+00    -2.46515e-01
    2.12163e+00     1.76650e-02     1.23114e-02     5.35367e-03     0.00000e+00    -4.58791e+00     1.30055e+00    -2.37436e-01
    2.14088e+00     1.74148e-02     1.22527e-02     5.16217e-03     0.00000e+00    -4.55854e+00     1.27482e+00    -2.36433e-01
    2.27556e+00     1.58799e-02     1.18647e-02     4.01527e-03     0.00000e+00    -4.36545e+00     1.10852e+00    -2.30051e-01
    2.42949e+00     1.45020e-02     1.14673e-02     3.03472e-03     0.00000e+00    -4.16700e+00     9.44999e-01    -2.23944e-01
    2.58342e+00     1.34174e-02     1.11125e-02     2.30488e-03     0.00000e+00    -3.98814e+00     8.05027e-01    -2.18846e-01
    2.73735e+00     1.25489e-02     1.07946e-02     1.75427e-03     0.00000e+00    -3.82563e+00     6.84568e-01    -2.14551e-01
    2.89129e+00     1.18436e-02     1.05090e-02     1.33462e-03     0.00000e+00    -3.67688e+00     5.80473e-01    -2.10907e-01
    3.04522e+00     1.12643e-02     1.02519e-02     1.01244e-03     0.00000e+00    -3.53983e+00     4.90249e-01    -2.07800e-01
