# All units in [AU] if not specified
{"name":"Aluminum", "Z":13, "Zstar":2.844224096221545, "A":28,  "μ[AU]": -4.322e-03, "T[AU]": 3.675e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    6.00000e-03     9.46947e+03     2.75010e-23     9.46759e+03     0.00000e+00    -4.14132e+01     2.12092e+03    -2.09942e+01
    1.20000e-02     3.26102e+03     1.31829e+00     3.25970e+03     0.00000e+00    -4.14132e+01     1.03759e+03    -1.47500e+01
    1.80000e-02     1.72841e+03     1.06683e+00     1.72735e+03     0.00000e+00    -4.06361e+01     6.77253e+02    -1.19576e+01
    2.40000e-02     1.09347e+03     9.15799e-01     1.09256e+03     0.00000e+00    -3.96962e+01     4.97637e+02    -1.02799e+01
    3.00000e-02     7.62436e+02     8.12051e-01     7.61624e+02     0.00000e+00    -3.87430e+01     3.90257e+02    -9.12717e+00
    3.60000e-02     5.65444e+02     7.35014e-01     5.64709e+02     0.00000e+00    -3.78217e+01     3.18956e+02    -8.27104e+00
    4.20000e-02     4.37641e+02     6.74821e-01     4.36966e+02     0.00000e+00    -3.69447e+01     2.68246e+02    -7.60196e+00
    4.80000e-02     3.49510e+02     6.26064e-01     3.48884e+02     0.00000e+00    -3.61137e+01     2.30386e+02    -7.05989e+00
    5.40000e-02     2.85912e+02     5.85498e-01     2.85326e+02     0.00000e+00    -3.53268e+01     2.01081e+02    -6.60881e+00
    6.00000e-02     2.38374e+02     5.51040e-01     2.37823e+02     0.00000e+00    -3.45807e+01     1.77753e+02    -6.22559e+00
    6.60000e-02     2.01829e+02     5.21282e-01     2.01308e+02     0.00000e+00    -3.38721e+01     1.58764e+02    -5.89459e+00
    7.20000e-02     1.73086e+02     4.95237e-01     1.72590e+02     0.00000e+00    -3.31979e+01     1.43024e+02    -5.60484e+00
    7.80000e-02     1.50043e+02     4.72184e-01     1.49570e+02     0.00000e+00    -3.25550e+01     1.29778e+02    -5.34835e+00
    8.40000e-02     1.31270e+02     4.51586e-01     1.30818e+02     0.00000e+00    -3.19409e+01     1.18488e+02    -5.11915e+00
    9.00000e-02     1.15763e+02     4.33034e-01     1.15330e+02     0.00000e+00    -3.13532e+01     1.08758e+02    -4.91268e+00
    9.60000e-02     1.02801e+02     4.16208e-01     1.02385e+02     0.00000e+00    -3.07898e+01     1.00293e+02    -4.72539e+00
    1.02000e-01     9.18520e+01     4.00853e-01     9.14511e+01     0.00000e+00    -3.02489e+01     9.28687e+01    -4.55446e+00
    1.08000e-01     8.25174e+01     3.86767e-01     8.21307e+01     0.00000e+00    -2.97289e+01     8.63082e+01    -4.39763e+00
    1.14000e-01     7.44939e+01     3.73782e-01     7.41202e+01     0.00000e+00    -2.92281e+01     8.04736e+01    -4.25304e+00
    1.20000e-01     6.75467e+01     3.61762e-01     6.71849e+01     0.00000e+00    -2.87455e+01     7.52545e+01    -4.11919e+00
    1.26000e-01     6.14914e+01     3.50592e-01     6.11408e+01     0.00000e+00    -2.82796e+01     7.05616e+01    -3.99479e+00
    1.32000e-01     5.61819e+01     3.40177e-01     5.58417e+01     0.00000e+00    -2.78296e+01     6.63219e+01    -3.87879e+00
    1.38000e-01     5.15011e+01     3.30436e-01     5.11706e+01     0.00000e+00    -2.73943e+01     6.24752e+01    -3.77028e+00
    1.44000e-01     4.73539e+01     3.21298e-01     4.70326e+01     0.00000e+00    -2.69730e+01     5.89714e+01    -3.66848e+00
    1.50000e-01     4.36628e+01     3.12705e-01     4.33501e+01     0.00000e+00    -2.65648e+01     5.57685e+01    -3.57273e+00
    1.56000e-01     4.03638e+01     3.04603e-01     4.00592e+01     0.00000e+00    -2.61690e+01     5.28310e+01    -3.48246e+00
    1.62000e-01     3.74038e+01     2.96949e-01     3.71069e+01     0.00000e+00    -2.57850e+01     5.01286e+01    -3.39717e+00
    1.68000e-01     3.47385e+01     2.89703e-01     3.44488e+01     0.00000e+00    -2.54120e+01     4.76356e+01    -3.31641e+00
    1.74000e-01     3.23304e+01     2.82830e-01     3.20476e+01     0.00000e+00    -2.50496e+01     4.53297e+01    -3.23980e+00
    1.80000e-01     3.01481e+01     2.76299e-01     2.98718e+01     0.00000e+00    -2.46972e+01     4.31917e+01    -3.16700e+00
    1.86000e-01     2.81646e+01     2.70083e-01     2.78945e+01     0.00000e+00    -2.43544e+01     4.12048e+01    -3.09771e+00
    1.92000e-01     2.63568e+01     2.64158e-01     2.60926e+01     0.00000e+00    -2.40206e+01     3.93544e+01    -3.03166e+00
