# All units in [AU] if not specified
{"name":"Aluminum", "Z":13, "Zstar":3.80839438739868, "A":28,  "μ[AU]": 1.296e-01, "T[AU]": 3.675e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    9.00000e-03     3.54285e+03     2.67660e+00     5.09894e+03     0.00000e+00    -4.10839e+01     1.40193e+03    -1.51601e+01
    1.80000e-02     1.47790e+03     1.86790e+00     1.73248e+03     0.00000e+00    -4.10839e+01     6.79694e+02    -1.13548e+01
    2.70000e-02     8.29003e+02     1.50523e+00     9.06336e+02     0.00000e+00    -4.02807e+01     4.39757e+02    -9.38257e+00
    3.60000e-02     5.34483e+02     1.28692e+00     5.66237e+02     0.00000e+00    -3.92819e+01     3.20386e+02    -8.11906e+00
    4.50000e-02     3.74515e+02     1.13670e+00     3.90072e+02     0.00000e+00    -3.82548e+01     2.49190e+02    -7.22217e+00
    5.40000e-02     2.77419e+02     1.02503e+00     2.85936e+02     0.00000e+00    -3.72544e+01     2.02043e+02    -6.54366e+00
    6.30000e-02     2.13827e+02     9.37694e-01     2.18819e+02     0.00000e+00    -3.62983e+01     1.68606e+02    -6.00738e+00
    7.20000e-02     1.69795e+02     8.66905e-01     1.72844e+02     0.00000e+00    -3.53909e+01     1.43720e+02    -5.56968e+00
    8.10000e-02     1.37993e+02     8.07981e-01     1.39886e+02     0.00000e+00    -3.45314e+01     1.24516e+02    -5.20360e+00
    9.00000e-02     1.14245e+02     7.57924e-01     1.15419e+02     0.00000e+00    -3.37174e+01     1.09282e+02    -4.89149e+00
    9.90000e-02     9.60310e+01     7.14691e-01     9.67324e+01     0.00000e+00    -3.29455e+01     9.69232e+01    -4.62122e+00
    1.08000e-01     8.17495e+01     6.76852e-01     8.21317e+01     0.00000e+00    -3.22125e+01     8.67134e+01    -4.38421e+00
    1.17000e-01     7.03426e+01     6.43367e-01     7.05038e+01     0.00000e+00    -3.15155e+01     7.81512e+01    -4.17412e+00
    1.26000e-01     6.10875e+01     6.13458e-01     6.10926e+01     0.00000e+00    -3.08515e+01     7.08787e+01    -3.98621e+00
    1.35000e-01     5.34758e+01     5.86528e-01     5.33695e+01     0.00000e+00    -3.02179e+01     6.46339e+01    -3.81683e+00
    1.44000e-01     4.71421e+01     5.62115e-01     4.69555e+01     0.00000e+00    -2.96124e+01     5.92209e+01    -3.66312e+00
    1.53000e-01     4.18174e+01     5.39849e-01     4.15725e+01     0.00000e+00    -2.90330e+01     5.44899e+01    -3.52282e+00
    1.62000e-01     3.72998e+01     5.19433e-01     3.70125e+01     0.00000e+00    -2.84777e+01     5.03247e+01    -3.39409e+00
    1.71000e-01     3.34357e+01     5.00628e-01     3.31182e+01     0.00000e+00    -2.79449e+01     4.66341e+01    -3.27542e+00
    1.80000e-01     3.01066e+01     4.83231e-01     2.97675e+01     0.00000e+00    -2.74330e+01     4.33448e+01    -3.16558e+00
    1.89000e-01     2.72195e+01     4.67077e-01     2.68654e+01     0.00000e+00    -2.69407e+01     4.03980e+01    -3.06354e+00
    1.98000e-01     2.47006e+01     4.52026e-01     2.43366e+01     0.00000e+00    -2.64666e+01     3.77455e+01    -2.96842e+00
    2.07000e-01     2.24913e+01     4.37961e-01     2.21211e+01     0.00000e+00    -2.60097e+01     3.53478e+01    -2.87949e+00
    2.16000e-01     2.05438e+01     4.24778e-01     2.01703e+01     0.00000e+00    -2.55689e+01     3.31719e+01    -2.79611e+00
    2.25000e-01     1.88192e+01     4.12391e-01     1.84446e+01     0.00000e+00    -2.51433e+01     3.11900e+01    -2.71773e+00
    2.34000e-01     1.72855e+01     4.00724e-01     1.69118e+01     0.00000e+00    -2.47320e+01     2.93791e+01    -2.64389e+00
    2.43000e-01     1.59165e+01     3.89711e-01     1.55448e+01     0.00000e+00    -2.43343e+01     2.77192e+01    -2.57417e+00
    2.52000e-01     1.46899e+01     3.79296e-01     1.43213e+01     0.00000e+00    -2.39493e+01     2.61936e+01    -2.50820e+00
    2.61000e-01     1.35873e+01     3.69425e-01     1.32224e+01     0.00000e+00    -2.35764e+01     2.47876e+01    -2.44568e+00
    2.70000e-01     1.25931e+01     3.60055e-01     1.22325e+01     0.00000e+00    -2.32150e+01     2.34887e+01    -2.38632e+00
    2.79000e-01     1.16939e+01     3.51146e-01     1.13381e+01     0.00000e+00    -2.28645e+01     2.22860e+01    -2.32986e+00
    2.88000e-01     1.08784e+01     3.42664e-01     1.05279e+01     0.00000e+00    -2.25244e+01     2.11701e+01    -2.27610e+00
    2.97000e-01     1.01370e+01     3.34573e-01     9.79175e+00     0.00000e+00    -2.21941e+01     2.01325e+01    -2.22481e+00
    3.06000e-01     9.46134e+00     3.26848e-01     9.12149e+00     0.00000e+00    -2.18733e+01     1.91659e+01    -2.17584e+00
    3.15000e-01     8.84407e+00     3.19462e-01     8.50981e+00     0.00000e+00    -2.15614e+01     1.82640e+01    -2.12900e+00
    3.24000e-01     8.27898e+00     3.12392e-01     7.95032e+00     0.00000e+00    -2.12581e+01     1.74209e+01    -2.08417e+00
    3.33000e-01     7.76061e+00     3.05617e-01     7.43756e+00     0.00000e+00    -2.09630e+01     1.66316e+01    -2.04120e+00
    3.42000e-01     7.28417e+00     2.99118e-01     6.96672e+00     0.00000e+00    -2.06757e+01     1.58916e+01    -1.99997e+00
    3.51000e-01     6.84546e+00     2.92876e-01     6.53351e+00     0.00000e+00    -2.03959e+01     1.51967e+01    -1.96038e+00
    3.60000e-01     6.44080e+00     2.86875e-01     6.13426e+00     0.00000e+00    -2.01234e+01     1.45432e+01    -1.92232e+00
    3.69000e-01     6.06690e+00     2.81104e-01     5.76577e+00     0.00000e+00    -1.98577e+01     1.39282e+01    -1.88571e+00
