# All units in [AU] if not specified
{"name":"Aluminum", "Z":13, "Zstar":3.8063106566804468, "A":28,  "μ[AU]": 1.264e-01, "T[AU]": 3.675e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    9.00000e-03     5.10156e+03     2.67857e+00     5.09888e+03     0.00000e+00    -4.20918e+01     1.40091e+03    -1.71046e+01
    1.80000e-02     1.73435e+03     1.86928e+00     1.73248e+03     0.00000e+00    -4.20918e+01     6.78686e+02    -1.19711e+01
    2.70000e-02     9.07843e+02     1.50635e+00     9.06336e+02     0.00000e+00    -4.11639e+01     4.38873e+02    -9.66792e+00
    3.60000e-02     5.67525e+02     1.28787e+00     5.66237e+02     0.00000e+00    -4.00490e+01     3.19618e+02    -8.28105e+00
    4.50000e-02     3.91212e+02     1.13755e+00     3.90075e+02     0.00000e+00    -3.89257e+01     2.48519e+02    -7.32655e+00
    5.40000e-02     2.86961e+02     1.02579e+00     2.85936e+02     0.00000e+00    -3.78468e+01     2.01450e+02    -6.61678e+00
    6.30000e-02     2.19759e+02     9.38391e-01     2.18820e+02     0.00000e+00    -3.68262e+01     1.68079e+02    -6.06158e+00
    7.20000e-02     1.73713e+02     8.67550e-01     1.72846e+02     0.00000e+00    -3.58650e+01     1.43246e+02    -5.61150e+00
    8.10000e-02     1.40698e+02     8.08585e-01     1.39889e+02     0.00000e+00    -3.49601e+01     1.24089e+02    -5.23681e+00
    9.00000e-02     1.16178e+02     7.58488e-01     1.15420e+02     0.00000e+00    -3.41071e+01     1.08893e+02    -4.91844e+00
    9.90000e-02     9.74488e+01     7.15223e-01     9.67336e+01     0.00000e+00    -3.33015e+01     9.65672e+01    -4.64343e+00
    1.08000e-01     8.28101e+01     6.77356e-01     8.21328e+01     0.00000e+00    -3.25392e+01     8.63867e+01    -4.40272e+00
    1.17000e-01     7.11486e+01     6.43847e-01     7.05048e+01     0.00000e+00    -3.18163e+01     7.78504e+01    -4.18968e+00
