# All units in [AU] if not specified
{"name":"Aluminum", "Z":13, "Zstar":3.308926504299506, "A":28,  "μ[AU]": 7.871e-02, "T[AU]": 3.675e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    9.00000e-03     3.54220e+03     2.03721e+00     3.45918e+03     0.00000e+00    -4.11003e+01     1.40191e+03    -1.51591e+01
    1.80000e-02     1.47758e+03     1.61210e+00     1.71381e+03     0.00000e+00    -4.11003e+01     6.79677e+02    -1.13540e+01
    2.70000e-02     8.28758e+02     1.27635e+00     8.50286e+02     0.00000e+00    -4.02974e+01     4.39740e+02    -9.38166e+00
    3.60000e-02     5.34278e+02     1.08028e+00     5.15388e+02     0.00000e+00    -3.92989e+01     3.20368e+02    -8.11803e+00
    4.50000e-02     3.74335e+02     9.69986e-01     3.73003e+02     0.00000e+00    -3.82721e+01     2.49173e+02    -7.22103e+00
    5.40000e-02     2.77258e+02     8.77521e-01     2.76096e+02     0.00000e+00    -3.72720e+01     2.02024e+02    -6.54241e+00
    6.30000e-02     2.13681e+02     8.04589e-01     2.12753e+02     0.00000e+00    -3.63164e+01     1.68588e+02    -6.00603e+00
    7.20000e-02     1.69661e+02     7.45011e-01     1.68850e+02     0.00000e+00    -3.54094e+01     1.43702e+02    -5.56823e+00
    8.10000e-02     1.37869e+02     6.95163e-01     1.37128e+02     0.00000e+00    -3.45504e+01     1.24498e+02    -5.20207e+00
    9.00000e-02     1.14130e+02     6.52656e-01     1.13441e+02     0.00000e+00    -3.37368e+01     1.09263e+02    -4.88988e+00
    9.90000e-02     9.59235e+01     6.15858e-01     9.52800e+01     0.00000e+00    -3.29654e+01     9.69033e+01    -4.61953e+00
    1.08000e-01     8.16490e+01     5.83582e-01     8.10405e+01     0.00000e+00    -3.22330e+01     8.66929e+01    -4.38244e+00
    1.17000e-01     7.02484e+01     5.54971e-01     6.96688e+01     0.00000e+00    -3.15364e+01     7.81303e+01    -4.17229e+00
